file	paragraph	score	chars	preview
001.李敖与“编辑室报告”.txt	2	3	181	李敖主编《文星》四年，掀起了一股“文星风云”，每月《文星》出刊，李敖写“编辑室报告”。在“编辑室报告”里面，李敖除了介绍该期《文星》的内容外，更将自己的议论意见利用短短的三字两语表达出来，要了解李敖，这是不可缺少的资料。从“编辑室报告”的字里行间，有心人自可掌握到李敖的精神所在。因此，我在这里把部分“编辑室报告”做了一个大概的分类，给有心人从中找寻宝贵的资料。
001.李敖与“编辑室报告”.txt	7	3	282	在这种现状之下，真正的风雅者是苦恼的。他们要“冲决网罗”，要在彷徨里叫喊，在叫喊里彷徨。在这种十字路口上，走来了本期《文星》的封面人物——萨特。萨特是“存在主义”的代表人物，他的身世是灰暗的、艰苦的：他是孤儿，是战乱里的俘虏，是地下工作的领袖；他的人生时刻都面临着黑暗与死亡，因此，他的哲学与文学也充满离奇和否定。例如，在他眼里，“自由”在抵抗压迫中才能得到；“黑暗”是正常的；世界“无理”也是正常的。二十五年前，他在第一部短篇小说《墙》（Le Mur）里，就表现了这种世界。世界里的每个主角都要碰到这座“墙”，要在墙与墙间面对迎面而来的荒谬和苦炼。（第七十六期）
001.李敖与“编辑室报告”.txt	12	5	250	1月1日，台大教授杨树人先生在《传记文学》杂志里，写了一篇《怀念朱骝先先生》。这个月，他又给本刊写了一篇《回忆一颗大星的陨落——记胡适之先生最后的三年》。他的追记里，使我们知道胡适之先生并没有得到一个“安乐地死”，他在死前曾经有过一段痛苦的历程和磨难，这似乎是必然的；胡适之先生有他智者的寂寞，这种寂寞，有时使他难以自抑，使他收缩了爽朗的笑脸，而呈露了苦相。杨树人先生从苦相里认识了胡适之先生，同时用这种认识，连结了每一个智者的寂寞。面对这样的一个时代，读完这样的文章，谁能不沦入沉思！（第七十六期）
001.李敖与“编辑室报告”.txt	13	3	89	胡适先生已去世两周年，他的“朋友”们除了“告朔饩羊”式的貌似怀念一阵外，什么积极的事也做不出来，这真是他们的大耻辱，他们不但是道义的罪人，也是开明思想传播的拦路虎。（第七十七期）
001.李敖与“编辑室报告”.txt	27	3	180	莎士比亚的名作在中国，不乏有人翻译，甚至有的还以全集姿态出现，但是我们忍不住要说，那些译本不能代表真的莎士比亚。因为它们缺乏深厚的学力基础，缺乏伟大的透视力去穿透莎士比亚脑袋后面的灵光。真正的翻译，不是一个翻译匠的工作，真正的翻译是一种“再创造”。“再创造”的产品登峰造极以后，甚至比原装货还伟大，恰如那罗丹雕塑的萧伯纳造像，谁敢说这个造像不比老萧本人还伟大？
001.李敖与“编辑室报告”.txt	70	3	82	费正清不是故步自封的人，对于中国问题的看法，他始终能接受新证据的引导而修正他的观点，所以对这位“中国通”，我们似乎可以用“刮目”的态度来看他和批评他。（第七十八期）
001.李敖与“编辑室报告”.txt	74	5	338	历史上的特立独行之士，大抵非狂即狷，狂者进取，狷者有所不为，1952年诺贝尔和平奖金的得奖者，1954年的世界风云人物的主要候选人（最后是美国国务卿杜勒斯当选）、《文星》第六期的封面人物史怀哲博士就是一个道地的狂狷之士。这位被推为当代最伟大的人道主义者，今年已经九十出头了，但他还是活得那么硬朗，石缦仪女士在本期《文星》有他的最近报导。《文星》另一位封面人物，高龄九十四岁的美国元老政治家伯纳·巴鲁克于6月20日 因心脏病于其纽约市寓所逝世，他的生平在九十一期《文星》有详尽的介绍。这两位老头子活了那么一大把年纪，可敬的是依然还保持着这份狂狷之气。在我们中国不论活着的，还是死掉的，又有几人能保留“有所进取，亦有所不取”，“有所不为，尔后可
001.李敖与“编辑室报告”.txt	77	3	119	中央社香港二十二日的电讯报导说：一位以前左倾而现在反共的知识分子，今在《天天日报》公开其二十年前所知的秘密。“当年的李公仆和闻一多，可以说是青年学生们的偶像，原来残杀李闻两人的，绝不是共匪所指称的所谓‘蓝衣党特务’，而是共匪自己的特务。”
001.李敖与“编辑室报告”.txt	85	4	323	吴稚晖是胡适笔下“‘自由中国’的一个最特立独行的怪杰”，他的人格与风范，在“自由中国”的衮衮诸公里，再也找不到第二个能比拟他。他的死亡，象征着另一代的知识分子的陨落。他的可爱，在于他明快的主张“把线装书投入茅厕”，明快的主张“‘国故’这臭东西”，要“把它丢在茅厕里三十年”，明快的主张我们该“鼓吹一个干燥无味的物质文明”，明快的认为中国民族的“总和，道德叫做低浅”，而西洋民族的“总和，道德叫做高明”……这一切“实事求是”的爽朗，不做乡愿的决绝，才是吴稚晖的真精神。凡是不了解这种真精神的人，纵使为他开一百次纪念会，为他写一千篇颂扬文字，为他印一万张遗照墨迹，也是隔靴搔痒，舍本逐末。而其结果，除了使吴老头儿躺在海里吃吃暗笑以外，又能得到什
001.李敖与“编辑室报告”.txt	91	3	230	中国近代史和中国法制史，是洋人研究中国的二门热门科目。中国近代史的研究，由于国内学人的提倡，已经蔚成风气。而中国法制史的研究，却远远落在洋人之后，国内除了几本教科书以外，治学成绩远在洋人之后，这实在是中国学人的耻辱。本来学问并无国界，但是以外国学人来治中国旧学，总觉有点“隔靴搔痒”，而中国学人治国学，资料的搜集和整理，就地取材，远较外人方便，因此，我们必须急起直追，养成研究中国法制史的风气。陆啸钊先生的“中国法制史论丛”就是为这个目的而写的。（第九十七期）
001.李敖与“编辑室报告”.txt	96	3	188	“诛及疑似”这一句话，充分表示出中国古代司法的黑暗，和被告人权的不受保护。这些问题一直到今天，依然存在。我们坚信，司法的尊严和独立，必须由司法人员自身去建立，而问案的周详，取证的严谨，更是执法公正的首要条件，诸如这些，千万马虎糊涂不得。尤其一般重大刑案，稍有误失，就是人命一条，冤狱纵可赔偿，也赔不出一个活生生的人出来。《文星》过去所以对自白定罪屡次提出检讨的道理，也就在此。
001.李敖与“编辑室报告”.txt	97	4	234	被陶希圣先生评为必须有“包龙图探阴山的手法才能结案”的火场焚尸案，今天包龙图虽未再世，被告黄衣女郎张韵淑却一审二审都被判处了死刑，可是结伙共同杀人的黄姓男子，直到今天还连个影子都没有，这个疑点不澄清，而仍然依赖一张自白书把人送上断头台的话，不光是张韵淑和她的妈妈要喊冤枉，整个社会都将引为莫大的耻辱。陆啸钊先生的《莫恃官清胆气粗》反复阐释慎刑恤刑的道理，身负司法重任的先生们，请你们自己想一想，以这样的“自白”（？）证据定人死罪，试问你们是否能心安理得。（第九十七期）
001.李敖与“编辑室报告”.txt	98	3	180	由于张子岐一案，又引起了“议员言论不负责权”的旧话重提，我们认为像这样的冲突，在任何一个国家宪政的成长史中，都是一桩无可避免的事实。议员会内言论对外究竟负不负责任，这是一个值得研究的问题。不过，有一点我们必须特别提出，任何一种权力，如果纯靠自律而失去外在制衡力量的话，未有不变成滥用权力的。我们固然不愿意看到司法滥权，同样我们也不忍见到议会专横。（第九十一期）
001.李敖与“编辑室报告”.txt	105	4	348	三十一年前的中国，曾经发生了一件监察委员弹劾法官的案子——弹劾的监察委员是高友唐，被弹劾的法官是前上海地方特区法院院长杨肇熉，和前上海社方审判庭庭长——中国第一位女法官郑毓秀，弹劾书中的结论是：“为国家整纲纪，为法界挽声誉”。这件事情过后三十一年，历史又重演，又发生了一场监察委员弹劾法官的大案子——陶百川、黄宝实两位监察委员的“首揭义旗”，带来了满城风雨。对这个问题，可以从许多角度来评论，我们觉得从思想趋向的角度来看它，也许更有意义。我们忍不住要问：三十一年来，我们在思想趋向上的进步在哪里？我们为什么不能阻止历史不再重演？为什么不能不再开倒车？为什么仍旧有一批顽固分子在阻止人们做“为国家整纲纪，为法界挽声誉”的行为？……从这些角度来
001.李敖与“编辑室报告”.txt	118	3	199	陆啸钊先生所写的《安乐地死》，是一个我们迟早总要接受的新观念。我们只重视“养生”和“送死”（办丧事），但在生死线上，我们似乎没有予以合理的重视。我们只会用传统的“妇人之仁”的“慈悲”，去延续一个已经不能延续的生命，结果使生者和将死者都更痛苦，这却是何苦来？陆啸钊先生主张的“安乐地死”，是真正的“大慈大悲”的观念，它的表面似乎是“残忍”，但是有时候，没有“残忍”，就没有“大慈大悲”。（第七十六期）
001.李敖与“编辑室报告”.txt	138	3	150	“饮食男女，人之大欲存焉。”性是一种自然现象，中国古人并不讳言性，只有到那些腐儒的手里，性才变成不能形之于口的东西。从此性就披上了一层神秘的外衣，很少有人敢去接触这个问题，更谈不到去深入认识了，而一切罪恶也都在暗中摸索里产生了。我们却习惯地把这些罪恶都归咎于性，并且认定只要防止了性，就是防止了罪恶。
001.李敖与“编辑室报告”.txt	160	3	250	高等教育的怪现状问题，自从本刊七十三期起，由李敖先生“发难”以后，大家讨论得非常热烈。我们在七十三期的“编辑室报告”里就说：“我们希望和教育学术界接近的朋友，多多提供这方面的意见，使这潭死水，先激起一点浪花。”这期的《从一巴掌看辅仁大学》，就是一个小小的“浪花”。这是高等教育怪现状的另一面，我们不看这篇报导，想都想不到中国大学教育竟糟到这步田地！教会学校也竟糟到这种程度！我们希望吃得白白胖胖的教育部长，和吃得胖胖白白的红衣主教，都能积极有为的做点事，不要光是说些漂亮的神话来安慰我们。（第八十期）
001.李敖与“编辑室报告”.txt	169	5	295	在今天腐败的高等教育中，最代表落伍性质和时代倒车的，莫过于大学里的中文系和中国文学研究所。它们是现代思潮里的一个脓疮，一个非狠狠开刀一次不可的脓疮。自从《文星》提出高等教育怪现状的讨论以后，社会上的一些乡愿报刊和作者，居然也发表了一些迂腐言论，俨然以为这些迂腐言论可以解决中文系和中国文学研究所的死结，这真是笑话。周弃子先生这回忍不住了，他一言点破这个问题的症结所在，他点出这根本是一个起码的程度问题，这是很一针见血的言论。大家想想看，在今日各大学的中文系中，试看有几个不是“义和团”或“准义和团”分子？连徐复观之流都可以在大学中文系中滥竽充数，做黑牌教授，中文系怎么能不完蛋？（第八十期）
001.李敖与“编辑室报告”.txt	173	4	473	蒋匀田先生本来答应给我们写两篇文章，但是因为他就要出国讲学、研究，只好等到出国之后再写来，他并且还答应陆续给我们写些在国外的观感与见闻。他在2月18日写信给我们说：“我很羡慕美国大专学校鼓励教授出游的办法：每教课二年，得休假一年；同时又得学校之资助，出国旅行考察。对社会言，可以观摩异同，借助他山；对个人言，可以开拓新境，精益求精。因此，使社会不致落后于进步之社会，使个人不致孤立于文明之人际。此乃余今日筹措旅费于万分艰难之中，拟图远游美国之微意。”蒋先生这种随时求进步、求观摩的精神，使我们非常佩服。同时引起我们不少的感叹——感叹我们的“大专学校”的故步自封，不能协助真正的人才“出国旅行考察”。一般人总以为出国旅行考察是“镀金”，其实这
001.李敖与“编辑室报告”.txt	181	3	171	十一期的封面人物李普曼，美国总统约翰逊在12月1日，以一国元首之尊，亲自移樽就教，跑到李普曼家里谈了四十多分钟。我们读《孟子》，有这样的话：“故将大有为之君，必有所不召之臣。”再读《后汉书·杨乘传》，也有这样的话：“夫明主之世，必有不召之臣。”我们怎能想到，我们的传统文化、我们的传统理想，被我们干叫了两千多年结果，竟被西洋人表演得惟妙惟肖！
001.李敖与“编辑室报告”.txt	190	3	93	两百一十三年前（1749），在法国的一本权威杂志——《法国水星》（Mercure de France）上，出现了一页征文启事。征文的题目是：“科学和艺术的进步究竟败坏道德还是增进道德？”
001.李敖与“编辑室报告”.txt	195	3	85	多年以后，他在《忏悔录》（Les Confessions）里回忆这件事，告诉人们，这次应征对他一生的重大意义。他，就是卢梭（Jean Jacques Rousseau）！
001.李敖与“编辑室报告”.txt	201	4	101	〔后记〕李敖后来提醒我，当时有部分“编辑室报告”其实是陆啸钊写的，我因为“不详查”，所以就“陆冠李戴”了。我愿意为这个错误负上全责，但是为了了解“文星风云”的实况，我们也不用太计较作者是谁了。（韩妙玄）
002.《文星杂志选集》导言.txt	10	3	195	两个半世纪前，美国出版原野的开拓者彼得曾格（John Peter Zenger），为争取言论出版自由，因义受难，备历折磨，但在最后，法律和历史都给了他光荣的评价。萧孟能是中国的彼得曾格，在他全盛时代，我未对他有过一字之褒；现在他南美远引、垂老投荒，我愿公开这样说：不管罪名多可笑，不管路多窄、水深波浪多阔，发愿“须对历史交代”的萧孟能，不但已光荣确定他在历史的地位，并且光荣站在历史的前面。
004.“只要寻一个不受人惑的人”.txt	4	4	220	因此，八十年来，中国人办杂志，不受政治影响，而以“思想挂帅”带路的，《文星》杂志就变成凤毛麟角的一种。《文星》杂志为中国思想趋向求答案，在挖根上苦心焦思、在寻根上慎终追远、在归根上四海一家，定向方面的成绩，至今空前绝后，没有任何杂志能赶过它。这种结论，只要比较一下八十年来杂志的内容，就不难做出。在举国滔滔的政治洪水里，《文星》杂志不改本色，坚持“思想挂帅”，这一坚持是很不容易的。《文星》杂志最后为这一坚持而告溺毙，也正说明了这一不容易。
004.“只要寻一个不受人惑的人”.txt	6	3	249	为什么我使《文星》杂志走“思想挂帅”的路线呢？因为我深信应该思想领导政治，不该政治领导思想。思想是一切的根源，思想是冷静的、细密的；政治是狂热的、粗糙的。“政治挂帅”是权力挂帅，照英国哲人的说法，权力使人腐化，绝对的权力使人绝对腐化，为了避免“政治挂帅”的腐化与绝对腐化，必须从根救起，在思想上为中国人定向，使中国人从根上脱胎换骨，不再在思想上糊涂混乱。我深信，只有在思想上得救，中国人才能摆脱“愚昧无知的盲动”（ignorance in action），中国才能走上自由、民主、开明、进步的正路。
005.被封杀的《千秋评论》.txt	20	4	145	然而，《李敖评论》的消息传出，我们的梦也同时惊醒了，李敖已经彻头彻尾的改变。杂志是社会舆论，不是个人舆论：杂志从事探索真理的工作，不能成为真理独断的刽子手。《李敖评论》则毫无疑问的充满着个人主义、英雄崇拜的色彩，相对的则欠缺作为社会公器的基型。《李敖评论》何异于“个人评论”或“片面评论”？
005.被封杀的《千秋评论》.txt	29	3	214	4月5日《时报杂志》有楚深的《艺文扫描》，说“李敖积极筹备《千秋评论》”，“以李敖的才学和财力，加上他事事求精的性格，相信会在杂志界消沉的此时掀起高潮，经过这十年的思想锻炼，说不定李敖能从‘文星时代’重振成为李敖‘千秋时代’。”显然的，楚深太乐观了我的“重振”，而忽略了官方的“三振”，楚深显然忽略了：使李敖一蹶不振，是符合多方面的“国策”标准的：李敖是叛乱犯前科的资深异己，“国策”不打击他，还打击谁？谁会为他“违反国策”呢？
005.被封杀的《千秋评论》.txt	41	6	805	以上述的批评为例：整篇议论所系的基调，是建立在“据知”二字之上，由于“据知”“这份刊物将于民国七十年元月出版，杂志名称为‘李敖评论’”。所以，批评者要呼吁：“我们反对李敖办这份刊物。”作为一个现代的知识分子，在发表堪称立场严肃的谈论时，至少需要检视一下自己的资料，纯以“据知”立论，不得谓为负责的态度。我们虽不尽同意所谓的“唯证据主义”，胡适所提倡的“有一分证据说一分话，有九分证据不能说十分话”。在现代科学的方法论上，也显然已有不足与不妥之处，但负责的态度、严谨的定论，仍是以现代知识分子自居者，在著文立说衡人论事时，不可或缺的要件。事实上，看到该一批评后，我曾向李敖查证有关办杂志之事，李敖的答复是：杂志只在构想中，既未登记，亦未定名。
005.被封杀的《千秋评论》.txt	44	3	407	进而言之，提到道德，此间的知识分子往往会有宽以律己、厚以责人的表现，往往以为自己就是道德的化身、完美的象征，在世风日下人心不古之余，唯有他们自己是出污泥而不染的青莲，是入地狱而不悔的圣贤，精神上高高在上，裁判众生，而很少想到：无论中国或西方，道德的精神都与“恕”字血脉相连，意蕴相通，不妨信手拈来两个家喻户晓的例证，以资说明：《圣经》的“约翰福音”第八章，提到祭司与法利赛人命群众以石头打死一名行淫的妇人，耶稣就说：“你们中间谁是没有罪的，谁就可以先拿石头打她。”于是从老到少，张脉偾兴准备“以义杀人”的群众，一个一个都离去了。《论语》的《里仁》篇，提到孔子之道一以贯之，“忠恕而已矣”，而“尽己之谓忠，推己及人之谓恕”，更明白彰示了仁道与
005.被封杀的《千秋评论》.txt	46	5	670	在一个民主社会中，我们尤其要有容忍的精神。时至今日，至少形式上的容忍已有客观的标准，那就是法律条文，而精神上的容忍却缺乏充分的基础，因为那需要高度的道德自反意识。然而，知识分子倘无自省的能力与习惯，又何贵于成为一个知识分子？又何异于社会上一般随波逐流的大众？倘若由于李敖对于中国文化不宽容，对社会规范不宽容、甚或对于道德情操不宽容，因此我们此间的知识分子也对他的行径、他的思想，甚至他的文字不宽容，以“据知”的种种理由，施独断的道德裁判，那么，我们在内心深处，是否真如我们在口头上所表示的那样重视民主与自由呢？倘若我们在内心深处，确认为李敖归来后的某些作风或行为，法律不足以断定其是非曲直，而必须知识分子再施以舆论的、道德的评估，那么，我们
006.《万岁评论》缘起.txt	17	3	187	1966（民国五十五年）31岁。《孙逸仙和中国西化医学》、《传统下的独白》、《历史与人像》、《为中国思想趋向求答案》、《教育与脸谱》、《上下古今谈》、《文化论战丹火录》、《闽变研究与文星讼案》等书全被查禁。11月5日出版“李敖告别文坛十书”，在装订厂被治安人员抢走。《乌鸦又叫了》、《两性问题及其他》、《李敖写的信》、《也有情书》、《孙悟空和我》、《不要叫吧》等书全被查禁。
006.《万岁评论》缘起.txt	20	3	254	在国民党封杀《文星》后，不但不准我申请登记杂志，甚至我的朋友陆啸钊等也一概不准，当时陆啸钊去拜访内政部掌管出版事业的熊钝生处长，熊钝生就明告他不准之意（十六年后，我在高信疆家偶遇熊钝生，这时他早已垮台了，他还劝告我小心，认为国民党会整我。他的谈吐与常人无异，一点也无复当年的国民党了。这就是我常说的国民党只是上下班的，下午五点半下班后，就不是国民党了，第二天早上八点半，再上班做国民党。国民党的个人，并不那样坏，只是一上了班，就会集体作恶了）。所以，对我说来，我不是不想再接再厉，只是一点机会和帮手都没有了。
