file	paragraph	triggers	chars	snippet
001.独裁中的民主.txt	33	once	99	这些独裁的局面，在1945年第二次世界大战以后，只剩下苏联的斯大林，西班牙的佛朗哥（Franco）（1939年取得政权）等极少数的政权而已，比起当年那些“群雄并立”“独裁为尚”的风气，显然是衰落了。
002.文警论及附件.txt	8	hear	446	所谓“文丐”，是一群新风花雪月忧愁哀怨的无病呻吟者，用狗屁的词汇与思路，整天写他们逃避现实的乞丐文。所谓乞丐，是向文字讨饭吃、用文字混饭吃、借文字发泄不值得发泄的情绪。他们满纸黑暗呀痛苦呀，其实他们根本不知道人间真正的黑暗与痛苦是怎么一回子事。他们只是在做“文字自淫”和“文字轮回”罢了。在这种“文丐”以外，另一类的无聊分子就是所谓“文警”。“文警”，顾名思义，就是“文字警察”，他们在古代叫“文学侍从之臣”，叫“御用文人”，在现代，叫“文化官”，叫“穿着制服的文艺工作者”（Artists in Uniform，这是梁实秋告诉我的Max Eastman的书）
002.文警论及附件.txt	12	story	150	在民国四十七年，胡适跟我讲了一个故事。他说鲁迅在左翼“文警”的围剿下，本已“转向输诚”，“向左靠拢”，可是共产党却在利用他之余，仍不饶他，仍要整他。当时控制他的“文警”总监是周扬，周扬对鲁迅的“鞭策”，可谓残忍已极。鲁迅在晚年曾写给胡风一封信，说他自己好像是一个奴隶，工作得愈紧，背后挨的鞭子却愈多！
002.文警论及附件.txt	14	once	440	共产党的“文警”制度，流弊所及，自觉的或不自觉的被傻小子们学去了不少，这些傻小子们，他们多出身在左派的漩涡，曾奉过马克斯牛克斯为祖师爷，曾迷信过唯物史观社会史观，曾在汉奸的泥潭里插过脚，曾在共产党的沼泽里打过滚，曾卖身投靠地做过共产党的同路人。……这些当年作孽多端的人物，如今多以政论家、宣传指导者、舆论公卖者、最反共者和反共专利者的姿态出现，整天专攻逻辑学，然后把他们过去自己戴过的各种帽子硬朝别人头上戴，表面上，这些“文警”的鼓声是他们比别人都忠贞、都爱国；骨子里，他们真正的号角却是内心惭绪与恐惧的逆化作用，以陷害忠良邀功争宠手法，做那残余的共产党残忍性
002.文警论及附件.txt	17	dialogue	479	中国古代被迫害的诗人说：“本是同根生，相煎何太急？”在大敌当前，“相煎”“同根”的拿笔杆战士，其举动之不智，已不需要我们多说；也许文字警察们会狡辩：“你我不是同根，尔为尔，我为我。”如此断绝关系，我们也欣然同意。但是我们不要忘记，在大敌当前的时候，当那个大敌是北洋军阀的时候，即使老毛子共产党，有过光荣历史的一个党都曾跟他们合作过、“联俄容共”过，何况是今天反共并不后人的一些“小国民”？“文警”们又有何面目、有何心肝去打击他们、迫害他们？不要以为今天无梁山可上，就可欺人太甚；今天虽无梁山可上，却有玉山可埋。党忠贞之士，都纷纷追随于右任，皇天后土，埋骨玉山的
003.张宗昌，我梦到了你！.txt	4	dialogue	82	孔夫子做圣人，老爱做圣梦。在圣梦中，周公是他“梦里的人儿”。虽然在他老先生更老的时候，“梦里的人儿”有点背他远去。所以，孔夫子老是叹气说：“久矣！我不复梦见周公！”
004.开玩笑的自由.txt	1	joke	6	开玩笑的自由
004.开玩笑的自由.txt	3	joke	156	另一种自由，却完全不一样，这种自由，可把它叫做“开玩笑的自由”。开玩笑的自由是：统治者和被统治者间，在吹胡子瞪眼之余，居然可以友化敌意，松弛紧张，大家不妨逗乐一番。逗乐，并不妨碍真理方面的“义正”，但在“词严”的态度上，却可轻松一点、“词不严”一点，不必那么剑拔弩张。所以，这种自由，可叫做“义正词不严的自由”。
004.开玩笑的自由.txt	4	joke,dialogue	46	写到这里，喜欢板脸孔的人一定说：在正经的主题上，怎可以开玩笑？开玩笑，岂不影响了主题的严正？
004.开玩笑的自由.txt	7	joke	195	原来在历史上，统治者对被统治者，实在缺乏开玩笑的渊源，真正吹胡子瞪眼的一方，总是高高在上的当今圣上，他们的威严与威风，部分要靠脸色铁青来维持，他们以“不苟言笑”自律，也以“不苟言笑”律人。这样久了，不苟言笑变成一种象征——一种威严与威风的象征。在这种象征下，多的是暴力与暴动、奴役与奴性，不论统治者那边或被统治者这边，双方残存的宽大善良一面，都无从培养，最后不是你死我活，就是两边都得胃病。
004.开玩笑的自由.txt	9	joke	50	人际关系自然有紧张的一面，但也有不必紧张的一面。纾解不必要的紧张，我认为不二法门就是——“开玩笑”。
004.开玩笑的自由.txt	11	dialogue	173	宋徽宗是高高在上的皇帝，他戴的皇冠旧了，找做帽子的做顶新的，做好了，戴得很得意。得意之余，他把旧皇冠赐给了做帽子的，说：“你留着戴吧！”吓得做帽子的接连磕头，逊谢不遑，大叫说：“这是皇冠呀！小的有几个脑袋，戴得起这种东西？敢戴这种东西？”不料宋徽宗小声说：“没关系，你还是可以戴！夜深人静的时候，你把大门锁上，窗帘拉起，戴上它过瘾，不是很好吗？”
004.开玩笑的自由.txt	12	story	46	宋徽宗是皇帝，但这个故事告诉了我们，当他残存的宽大善良一面发作的时候，他是一个有幽默感的人。
004.开玩笑的自由.txt	13	dialogue	195	清高宗（乾隆）是高高在上的皇帝，他对大学者杭世骏不满意，把杭世骏赶走。乾隆下江南的时候，各路人马都跑来朝拜，杭世骏也夹在其中。乾隆问杭世骏：“我把你赶走了，你靠什么吃饭？干些什么？”杭世骏说：“臣世骏开旧货摊。”乾隆问：“何谓开旧货摊？”杭世骏说：“收购破铜烂铁，摊在地上卖，就是开旧货摊。”乾隆听了，大笑起来，拿起毛笔，写了“买卖破铜烂铁”六个大字，送给了杭世骏，作为“御题”的地摊招牌。
004.开玩笑的自由.txt	14	story	46	清高宗是皇帝，但这个故事告诉了我们，当他残存的宽大善良一面发作的时候，他是一个有幽默感的人。
004.开玩笑的自由.txt	15	story,joke	84	这两个由上面朝下面开玩笑的故事，我认为在不正经之中，都蕴含了人际关系的一种解冻，这种解冻——人情练达的解冻，是被统治者争取自由的真正安全瓣，其他的所谓安全瓣，都是假的。
004.开玩笑的自由.txt	16	joke	76	历来高高在上的统治者，他们很少有给人自由的兴趣与习惯，人民争取自由，历来凶多吉少，但在法网恢恢中，我发现了一种网开一面，那就是“艺人式的开玩笑的自由”。
004.开玩笑的自由.txt	17	joke,dialogue	238	楚庄王时候，有个“优孟”（演员老孟），喜欢用开玩笑的方法，讽谏人君。楚庄王的爱马死了，这个爱马狂的皇帝，竟要以葬大夫之礼，来为爱马发丧，并且宣布：谁劝他不要这样做的，就杀谁。这样一来，满朝文武谁也不敢吭气。不料优孟听到了，就跑进皇宫，大哭起来。皇上问他哭什么？他说：怎么可以用大夫之礼葬这么伟大的马啊！要用得用人君之礼来国葬！要雕玉做棺材，动兵工挖土，各国使臣护丧，并为它盖庙。……要这样隆重，外国人知道了，才知道你皇帝“贱人而贵马”啊！楚庄王一听，才恍然大悟、才停止了胡闹。
