file	paragraph	line_start	line_end	char_count	hits	snippet
003.退党中的进步.txt	3	5	5	91	一天	先在8月14一天，国民党中央政策会副主委李宗仁，就扬言不惜退党；而国民党苗栗县长初选候选人林火顺，更率众北上，示威于中央党部大门前，且集中捆起一包包党证，想把七千张党证，一举而焚之！
004.视听真乱了.txt	3	5	5	210	笑话	在占公产上，钱穆其实不如高玉树，高玉树真小人，占就占了；钱穆却伪君子，占了还大谈“委屈”、还要“以正社会人士之视听”。但是伪君子的手法，却比真政客高呢！社会视听中，《联合报》公开说他有“狷介风范”、《中国时报》公开说他“读书人的骨气却表露无遗”……这真是笑话！钱穆住蒋介石假公济私来的豪华别墅，二十二年来一块钱都没花，这是哪一门子“狷介”？哪一门子“读书人的骨气”？社会视听被王惕吾、余纪忠这些混蛋颠倒如此，视听真乱了！
016.做戏无法，出个动词.txt	2	3	3	104	话说	中国俗话说：“做戏无法，出个菩萨。”意思是说，戏台上演戏，演不下去，抬出个菩萨来解围。搞政治本是演戏，演不下去，抬菩萨的旧式方法太累人了，聪明人就想出：何不改个词儿呢？词儿一改，许多问题，岂不就迎词而解了么？
016.做戏无法，出个动词.txt	3	5	5	230	例如	例如，台湾舞厅有“舞女”；酒家、酒吧有“女服务生”，问题不少。日前，台湾省政府法规委员会的聪明人就提出，“舞女”要改为“舞伴”、“女服务生”要改为“服务生”，就问题解决了。这一逗笑，我们还没合拢嘴呢，国民党新贵组织的“新国民党”连线，又爆出新词。由于“新国民党”新出了纰漏，李胜峰乃补充说明曰，“新”字是动词而非名词！天啊！中文词汇可以这样随意扭曲、胡说八道，我们真被这些聪明人一“新”耳目啦！岂止我们，连全台湾的国文老师，都要把国文从头学起，改过自“新”啦！
023.没有水平的台湾土蛋.txt	4	7	7	131	例如	在力争上游的过程中，吴乐天也偶有“何其太雅”之言，歪打正着，未可以其人而废其言。例如在大幅广告中，他指出新潮流系本遭到“来自国民党的镇压与迫害”，但是，这个系“在反迫害的行动中，不知不觉的又染上迫害他人的习性”。这倒是真话，只是真话由他嘴里吐出来，象牙也不真了。
024.“与子偕老”与“与子偕小”.txt	2	3	3	112	一天	我不到十四岁就到台湾，如今四十年了。四十年间，与国民党一路纠缠，一天也没离开过。四十年下来，我最强烈的感觉，有两个：一个是“与子偕老”；一个是“与子偕小”。前者指的是时间，是敌人与我的关系；后者指的是空间，是世界与我的关系。
026.古典新义.txt	3	5	5	152	例如	例如中文中“慎终追远，民德归厚矣”的话，古义的解释是：慎终是丧尽其哀、追远是祭尽其敬，但我却觉得，这话用在政治上，反倒更活络。一位先知先觉的政治先行者，他为理想“打拼”，造次必于是、颠沛必于是、坐牢必于是、亡命必于是，身受其惠的地区人民，理应感怀他才是，又有什么资格、什么脸面、什么心肠，对他指手画脚呢？
050.无所逃的身份.txt	2	3	3	242	一天	所谓“纪念殷海光先生逝世二十周年学术研讨会”上，有迟来的正义之声发出。韦政通等二十年后为殷海光讲了话，指出胡秋原当年对殷海光落井下石的不是。胡秋原老羞成怒，写信给《自立早报》强辩，说：“韦政通君之‘表示’是歪曲事实。我曾为殷海光事写信台大校长、文学院长，我第一句话是‘我以中国学界一分子和贵校学生家长之资格’写信，非以立法委员身份。”在同一天，报上也登出“监察委员”对联名慰问萧天赞的谈话，他们说：“联名写慰问信，纯粹是个人行为，与监委之角色无关。”“完全是友谊立场，并无其他意义。”
055.谁排斥了外省人？.txt	3	5	5	113	话说	梁肃戎的话说得理直气壮。不过，在又直又壮之余，请别忘记：台湾的外省人中，你们在“国会”中的，只是外省人的极少数，你们纵有脸皮代表在大陆的同乡，也没资格代表在台湾的大陆人，他们同你们一样住在台湾四十年，你们凭什么一路代表其民意？
058.新闻局长何不检讨自己？.txt	3	5	5	122	例如	例如邵玉铭说：“如今我们对大陆地区的了解深入，这必须感谢记者们不畏辛苦，甚至冒险犯难的贡献。”这话看起来，是何等诚恳？但谁知道，记者们冒的险、犯的难，却不在大陆而在台湾，试看《自立晚报》记者去大陆采访，归来予以处分并移送法院的，正是邵玉铭本人！
074.当梨不让.txt	2	3	3	205	故事	施性忠最近讲了一个故事：“一株梨树，本有大中小三颗不同的梨子，起初，弟弟（指施性忠庄姬美）垂涎其中最大的一颗（指市长职位），结果哥哥（指施性融）却把它摘来吃了。退而求其次，弟弟便想摘比较大的那一颗梨子（指省议员），结果，哥哥手脚更快，把它摘下来送给大嫂（指魏秀珍）吃了。在没有办法之下，弟弟只好巴望树上最后一颗最小的梨子（指“立委”），最想不到的是，哥哥竟然又当梨不让，顺手又把它摘了送给了外人（指蔡仁坚）。”
079.“你死我活”新解.txt	3	5	5	165	例如	“刑法”第24条有这样的规定：“因避免自己或他人生命、身体、自由、财产之紧急危难而出于不得已之行为，不罚。”在法理上，这叫“紧急避难行为”。这种行为，是指权利相互间发生冲突、势难两全之际，当事人可为保全自己的利益，而牺牲他人之利益。例如甲乙同遭水难，甲为夺取乙所持之木板，乙因而淹死，在法律上，对甲不罚，虽然在道德上，甲是王八蛋。
