file	paragraph	lines	score	markers	text
010.将相怎样才能和？.txt	25	49-49	21	故事|问|说|治|柏杨|孙观汉|资治通鉴|廉颇|蔺相如|蒋经国	第三、“将相和”的达成，是达成以后，一同扶弱抑强，为“困苦中的人民”抵抗暴政。这是廉颇、蔺相如的故事给我们的现代意义，也是孙观汉先生所肯定的意义。但是，若是“将”的一方，只是暴政的侍从者、合作者，则这一“和”，也就南辕北辙了。我在给孙观汉先生的公开信里，曾列举出种种铁证，证明柏杨“是国民党‘文学侍从之臣’出身，他离开国民党核心，不再得宠，原因是桃色事件，不是思想事件。在我这次公布的柏杨‘身后事’秘件里，可以看出他即使是在入狱前夜，他还深信他的国民党老上司李焕和蒋经国可以帮他妻子出国，他口口声声‘可找李焕先生或迳找蒋主任，哀诉，必可获助。’口口声声‘蒋主任是热情忠厚之人，李焕先生一向对我关爱。’口口声声‘蒋经国主任是一代英雄，是非必明。……要求出国，英雄必热情，当无问题。……’这些话，无一不显示了他的基本心态，也显示了他跟国民党党中央的深厚关系。”“柏杨是国民党‘文学侍从之臣’的背景与素质，即使入狱前后，亦未少衰。”我还举出，柏杨在给高琛的信里，就有“《自由中国》是国内反对政府最烈的刊物，这刊物的本身，已充分表现出我们的祖国是自由的，而且具有高度的自由”的迴护官方之言；而最有讽刺对比的，是他在被捕之日，他在《自立晚报》上发表的，竟还是响应“蒋夫人的号召”（1968年3月2日）！所以，我才说：“凡是跟着国民党走的作家，都不足论。”柏杨“攻击的上限比何凡高一点，他敢攻击警察总监”而已。柏杨入狱，是“阴错阳差”，并不是真的反对国民党，更别提反对党中央了。我又举出，柏杨出狱之后，他对国民党的高速表态，颇令我感到失望，他做中国大陆问题研究中心研究员，二次发表捧场之文，使我觉得他做的，好像是给关他的人挂勋章似的。他在《柏杨诗抄》的《后记》中还写出“只缘家国迈向新境，另开气象，昔日种种，已不复再”的话，其迴护国民党心态，恍然如昨。此外他写文章捧前国民党中央宣传部部长之流，更其余事也。我的结论是：“我沉思默察了柏杨出狱后的作风，我真不得不说，他真辜负了这么久的监狱经验。不客气的说，他已经变成一个吓破了胆的人。最近远流出版社为他印白话《资治通鉴》广告，广告中印了区区‘借古讽今’字样，柏杨都坚持一一涂去，令远流出版社的同人叹息不置，他们没想到柏杨的胆量，竟已一至于此！”在为“将”的人，已经屁滚尿流、一至于此的时候，所谓“将相和”，我真不知道“和”的是什么？“将相和”的基调一定得是关于大义
034.柏杨国文程度不够.txt	5	9-9	21	故事|传说|笑话|问|说|拒绝|死|笑|治|柏杨|资治通鉴|汉书|路温舒|皋陶	《资治通鉴》录的路温舒这段话，全文载在《汉书》路温舒传里，后以《尚德缓刑书》的题目，收在《古文观止》等选本里，可说是一篇很普通的古文。不料柏杨翻译《资治通鉴》，却因为国文程度不够，闹了大笑话。译文竟是这样的：“人情之常，平常的时候，喜爱生命。痛苦的时候，盼望死亡。苦刑拷掠之下，什么口供得不到？当囚犯无法忍受痛苦之时，审问官再提出隐约的暗示。如果对方不能了解，或拒绝依照隐约的暗示招供，办案人员为了顺利结案，就索性明明白白告诉他。定案之后，往上级呈报，恐怕受到批驳，则像冶金一样，在烈火中烧镕，左敲右击，把它锻炼成一件结结实实的罪案，使被告陷入精密的法律网罗。判决书呈上去之后，已是一件天衣无缝的文件，即令是皋陶看到（皋陶，传说时代聪明如神的法官），也会认为死有余辜。为什么？为的是捏造出来的故事太多，在法律条文编织之下，罪状太为明显。所以俗话说：‘在地方画个圆圈，当做监狱，千万不要进去。削一块木头，当做审问官，千万不可面对。’这是一种怨恨司法黑暗，最悲痛的心声。”
003.蒋介石、蒋经国的“田单症””.txt	3	5-5	20	典故|笑话|说|笑|齐桓公|鲍叔牙|毋忘在莒|田单|蒋介石	蒋介石好田单学，自谓“田单一日复齐七十余城”，是“战争艺术”，这一立论，见于一九六三年九月九日在政工干校讲的“军事教育的目的与宗旨”。因为以一介武夫，好田单学，所以以“毋忘在莒”运动为天下倡，说“毋忘在莒”典出田单复国云云，这就是大笑话。因为“毋忘在莒”典出古书《管子》，出自鲍叔牙向齐桓公、管仲、宁戚的祝福和劝告，原文是：“鲍叔牙奉杯而起曰：‘使公毋忘出入莒时也，使管子毋忘束缚在鲁也，使宁戚毋忘饭牛车下也。’桓公避席再拜曰：‘寡人与二大夫能毋忘夫子之言，国之社稷，必不危矣！’”大同小异的文字，也见于古书《新序》，新序原文是：“鲍叔奉酒而起曰：‘祝吾君无忘其出而在莒也，使管仲无忘其束缚而从鲁也，使宁子无忘其饭牛于车下也。’桓公避席再拜曰：‘寡人与二大夫皆无忘夫子之言，齐之社稷，必不废矣！’此言常思困隘之时，必不骄矣！”上面这种典故，在古人行文时，只要提到，一定就特指齐桓公的事，例如施补华《泽雅堂全集》里《别弟文》中，就有“管仲告齐桓曰：‘愿君勿忘在莒，臣亦念堂阜之囚’”的话，稍懂古书的人，没人敢“瞎猜”，说是指别的。
005.从胡老太秘录看钱大头忘恩负义.txt	28	55-55	19	有一天|后来|问|说|她说|笑|请|胡适|钱思亮|钱太太	第二件是一位护士小姐，我回来听说，因适之生病，这位小姐伺候病人特别热心周到，她把适之当长辈看待，她是徐伯（柏）园先生的侄女儿，她陪同适之出医院就住在此地，日夜看护连续三四个礼拜，适之头次出院人精神很好，她（他）自己一定不肯要她住，她就回去了。好在只离开一点路，天天来看看。不久适之回南港，在那边有一天开会吃西瓜，那晚大吐大泻，幸而钱太太带护士去南港，就叫她留在南港，亏这位小姐住了好几天，还是适之一定不要她陪，他好了，一定不肯要，大概四天日夜，应该白天二百元，晚上二百五十元，连上次还有三天算起来，一共四千元。适之就不过意，叫王志维先生买了一个收音机送她，收音机收听台风消息很有用处，人民听见救急不少，台风来了，不巧刚卖完，只有个坏的故退回。过两天中秋，护士小姐来拜节，有张名片，上面写着秋姣放在礼物上，适之就问她：“小姐，你叫秋姣，是今天生日吧？”她笑笑，适之就包了一个红纸包，一千二百元，送她自买收音机，她说已买了一个，适之叫她买别样，她说好我收。钱太太要将护士小（姐）荐给梅校长，护士说我身体困乏，要休养几时再工作。其实梅校长已有护士，同行怕别人见怪，好钱太太就怪人家了，就去护士会去告她，说她向胡适之敲诈，而且，又到个什么会告她，我说不上来。钱思亮大校长自己打电话去南港，请胡颂平王志维两先生签字告护士，他们说明是胡院长自己送她的，我们不能瞎签字，此事万不能给胡院长知道，他是有病的人，要生气的。后来妇女会出来调解，是护士小姐合法，校长先生夫妇应该赔偿名誉。他们也有预备。还是胡颂平先生去说好话，求他们看胡院长面子，要是生气再复病可不得了，她是特别护士，算是大家没事了。但是台大不敢再用她，因校长派头大，一直我到台湾好久，才知道这回事。
036.柏杨的国文历史程度不配翻译《资治通鉴》.txt	14	27-27	19	故事|说|死|世说新语|晋书|阮瞻|阮修|将无同	阮修、阮瞻都是无鬼论者，也都是洒脱的人。阮修四十二岁死于兵乱、阮瞻三十岁死于“活见鬼”。他们都盛年早死，“将无同！”的故事所以误传在一人身上，自和他们的彼此相似的洒脱性格有关。不过究其实际，唐朝人修《晋书》多据《世说新语》而此处例外，应是当时即有所据，而确定是阮瞻无误。
008.义助柏杨的外一章.txt	57	113-113	18	有一个|问|答|说|他说|治|郭衣洞	起诉书上说：“被告郭衣洞、孙建章，经姜匪推荐，与徐建祥入匪‘民主建设学院’接受训练学习‘红军战史’‘建立劳动观念’‘人民政府宽大政策’‘如何戴罪立功’及‘小组学习’。”关于孙建章部分，容后详陈，现在只说民主建设学院，这是专案小组警方代表朱先生（台北市警察安全室）提示的。那一天正逢我开始沈阳部分的自诬，刘展华毫不满意，认为一定受过什么训。朱先生突然问一句：“东北有没有一个民主建设学院？”我一怔说：“不知道。”就问他：“沦陷前？沦陷后？”他说：“沦陷后。”我就乘机顺着说我在那儿受过训，以求刘展华的欢心，因为必须如此坦承，才能够政治解决，可是我在这之前，从未听说过共匪有这个学院，据我记忆，至少三十七年十一月中旬，也就是我停留在沈阳，检察官控诉我在这个学院受训的期间，沈阳并没有这个学院，即令调查人员刘展华，对这个学院也一直表示怀疑。其中课表部分，上午两课，下午一课或开会，我是以革命实践研究院的课表做蓝本的。课程是在调查局提示下一部分照念，一部分“想当然”杜撰的。我在供词中自诬我在民主建设学院受训的番号，是第五大队十九中队，那正是抗战时期我在军委会战干团分科前的编队番号。调查局逼我一定说出一、二位同时受训者的姓名，我说出王宝鼎、常叔平，这两人都是兰州大学三十四年毕业的河南籍同学，那时都在河南原籍，教育部可以证明他们的学籍。但主要的关键还不在此，而在那个时侯沈阳是不是有这个学院，如有，它何时成立？编制如何？内容如何？位在何处？是否办过训练？是否为民盟收过党员？我希望借着律师，能在补充答辩书中举出资料呈庭。法官先生，这些不仅是证据问题，更是考据问题，世上任何一个人，在任何时地，都可推敲求证，一个“学院”非比一棵小草，我国和日本、美国、香港有许多权威匪情研究机构，可以为我这个冤狱做一个说明。如果在这个时候，沈阳根本没有这个学院，我真不知道我如何受训？如何参加民盟？如何接受姜副主任及匪干的金钱及指示？又如何为匪推行文化统战工作？
032.柏杨怎样暗中窜改文章？.txt	3	5-5	18	有一个|原来|问|说|死|治|柏杨	孙国栋先生说：“最近又读到柏杨先生编著的《中国人，你受了什么诅咒》一书，内容分上中下三辑。中辑名为《左右夹击》，内选文章四篇，把《光明日报》转载我的文章收入。不但用《光明日报》所改的题目，并用《光明日报》的删节文，而且注明“原载1987年3月1日北京光明日报”；我这篇文章明明原刊于《明报月刊》，4个月后《光明日报》才删节转载，在文末清楚注明乃转载稿。当柏杨先生于八七年3月访港时，香港《信报》记者访问他对《明报月刊》此文的感想，柏杨先生还发表了一些谈话（《信报》的访问记录亦被收入《中国人，你受了什么诅咒》一书的第三辑）。所以柏杨先生绝不能推诿说不知道该文原刊于《明报月刊》。而他故意歪曲事实，说原载于《光明日报》，不仅如此，柏杨先生为了加强他谎言的效用，竟不惜把《光明日报》的版面加以剪裁改动，然后影印出来，放在扉页，用以证明他的话。为什么要改动《光明日报》的版面呢？因为《光明日报》转载我此文于该报之第三版，原来的版头放在右上角，而说明此文乃转载《明报月刊》的注文亦靠近右上角。柏杨先生既要利用《光明日报》的版头，又要隐藏《光明日报》这条注文，于是他把《光明日报》全版剪裁开来，重新排列，把版头移于左上角，然后只影印左边，把右边的注文隐藏起来。于是说孙国栋此文乃原刊于《光明日报》无讹，有图为证了。可怜，为了诬捏我此文原刊于《光明日报》，竟施用这种不光明的栽赃手段！柏杨先生为什么要这样做呢？我想有一个目的，是要引起读者的错觉，认为这只是一篇带有政治色彩、为中共政权说话的文章，而不是一篇纯粹讨论文化的文章，于是使读者同情他。至于再有没有其他意图，我则不便猜想了。但无论如何，这种伪造证据以诬捏别人是最可耻的行径！柏杨先生不是大力批评中国人不诚实、说假话、死不认错的丑陋劣行吗？而自己竟做出这种更丑陋的行径，实在使人惊叹！”
004.从认贼到被贼认.txt	6	11-11	17	掌故|后来|说|他说|死|辜鸿铭	《中国时报》所说“中国近代英文怪杰辜鸿铭”，生于一八五七，死在一九二八，鸿铭是他的字，本名汤生，别署汉滨读易者，福建同安人。他是英属马来西亚槟榔屿的华侨，早年留学英国、德国，得到文学、工学学位。一八八零年后，在新加坡英国殖民政府任职。后来跟马建忠一夕谈，深感当为祖国效命，第二天就辞职了，然后蓄辫易服，回祖国了。辜鸿铭从二十八岁（一八八五）起，入张之洞幕府，为张之洞主持英文译述，历时二十多年。他说张之洞对他“虽未敢云以国士相待，然始终礼遇不少衰”。张之洞死后，他以二十多年间见闻所及，写成《张文襄幕府纪闻》，对晚清掌故礼俗，多有生动的记述。另以英文写《中国的牛津运动》（The Story of a Chinese Oxford Movement）一书。德国汉学家卫礼贤（Richard Wilhelm）把它译为德文，名叫《中国反对欧洲观念之理由》，指定为哥廷根大学哲学系学生必读参考书。民国以后，辜汤生又用英文写成《原华》（The Spirit of the Chinese People）一书，一名《春秋大义》，宣传“中国文化”的博大精深。他晚年在北京大学教书，愤世玩世骂世，被人看做“老怪物”。但他的特立独行，却是一个榜样。
009.给孙观汉先生的公开信.txt	7	13-13	17	有一个|当年|哭|笑|柏杨|孙观汉	赠阅的《爱书人》这期有柏杨记孙观汉的文章。柏杨能得到官方允许做最窄的表现，似乎官方利用他来做样板？利用“使他无法坐大”以表示官方大度？柏杨的水准似已确定，官方似乎知道这样最窄的表现尚无大碍，至少对官方得可偿失。柏杨和孙观汉的水准不是第一流的，但他们的交情却是第一流的。该入历史中的良朋传。艾玫隔着牢窗大骂柏杨“老天真”，他跟孙观汉真是一对，老天真得可爱可敬，老天真得又笑又哭。艾玫当年是骂，现在我却觉得这三个字是最好的形容与赞美。在时代的摧毁下，有一个会呐喊的老天真已不容易，何况又有两个，何况这两个又是战友，又是“飞奔上去，拥抱在一起”的人物。他们真绝。
020.恩仇心理学.txt	7	13-13	17	故事|后来|杀	狱囚有意气者，感勉求生，勉纵而逸之。后数岁，勉罢秩客游河北，偶见故囚。故囚喜，迎归厚待之。告其妻曰：“此活我者，何以报德？”妻曰：“偿缣千匹可乎？”曰：“未也。”妻曰：“二千匹可乎？”亦曰：“未也。”妻曰：“若此，不如杀之。”故囚心动。其仆哀勉，密告之。勉衩衣乘马而逸。比夜半，行百余里，至津店。店老父曰：“此多猛兽，何敢夜行？”勉因话言。言未毕，粱上有人瞥下，曰：“我几误杀长者！”乃去。未明，携故囚夫妻二首以示勉。（李勉后来做到唐德宗时的宰相。这个故事经明人编为《李汧公穷邸遇侠客》，收入《醒世恒言》，又采入《今古奇观》）
