file	scope	status	reason
001.快看《独白下的传统》.txt	文天祥十七史、法美老爸爸笑话、刘邦溺儒冠与郑成功焚儒巾	keep	虽在导论中，但有具体人物、对话或反讽转折，用来说明中国传统之厚与知识分子气魄。
001.快看《独白下的传统》.txt	黄宗羲读史、司马光《资治通鉴》	proofread_drop	校对轮删除；偏读史事实和导论例证，缺少独立故事动作链。
001.快看《独白下的传统》.txt	其余导论段落	exclude	主要是总论、概念判断、书目数量和李敖自我定位，不作为故事。
002.直笔——“乱臣贼子惧”.txt	孔子拿刀刻《春秋》、成王桐叶封叔虞、董狐直书赵盾弑君、齐太史兄弟直书崔杼	keep	围绕“直笔”展开，人物行动、冲突和讽刺结尾完整。
002.直笔——“乱臣贼子惧”.txt	少正卯真假、史官制度说明、孔子评价	exclude	偏考辨和论述，不单独成故事。
003.避讳——“非常不敢说”.txt	冯道学生不敢说《老子》、庄光改严光、李贺不得考进士、田登放火三日、王国钧断前程	keep	避讳主题下的笑话和讽刺小故事，均有明确人物和反差。
003.避讳——“非常不敢说”.txt	避讳学定义、字义说明、洋人国名对照	exclude	概念说明或对比材料，不收。
004.谏诤——“宁鸣而死，不默而生！”.txt	比干、唐太宗魏征二则、傅良、申屠刚、陈禾、朱云、宋太祖	keep	均为劝谏主题的小故事，有人物动作和转折。
004.谏诤——“宁鸣而死，不默而生！”.txt	谏诤概念、诗句和结论段	exclude	论述性文字，不收。
005.传令——全国大跑马.txt	汉昭帝识破霍光诬告、杨贵妃荔枝、岳飞十二金牌	keep	围绕传令速度展开，故事链清楚。
005.传令——全国大跑马.txt	驿传制度、名词解释、一般交通材料	exclude	制度沿革和资料说明，不收。
006.新闻——报纸像杂志.txt	《中外纪闻》没人敢收	keep	校对轮裁去报纸背景和查封后续，只保留白送也没人敢收的恐惧小故事。
006.新闻——报纸像杂志.txt	张芾请办报被骂、《苏报》案	proofread_drop	校对轮删除；张芾条情节太薄，《苏报》案主体是政治案件和法律文字。
006.新闻——报纸像杂志.txt	邸报源流、版式分类、报纸制度说明	exclude	材料说明，不是故事。
007.征兆——来头可不小.txt	周祖、刘邦、隋文帝、李世民、朱全忠、李克用、朱元璋、孔子征兆	keep	神异出生故事，虽多为传说，但李敖以故事形式集中讽刺“来头不小”。
007.征兆——来头可不小.txt	大量一行式梦兆姓名清单	exclude	只点名未展开，情节不足。
008.吃人——动物吃人，人也吃人.txt	孙二娘、李逵二则、张巡、慈禧割肉	keep	保留有故事动作、场面或反转的吃人/割肉故事。
008.吃人——动物吃人，人也吃人.txt	广陵、凤翔、朱粲、赵思绾、秦氏姐妹	proofread_drop	校对轮删除；偏灾荒记录、嗜食案例或孝道材料，未充分展开成故事。
008.吃人——动物吃人，人也吃人.txt	灾荒年份列表、一般性吃人论述	exclude	清单和论证，不收。
009.喝酒——喝也不行，不喝也不行.txt	纪昀、蔡元培、夏禹、刘章、孙权、王恺、刘伶二则、钟毓钟会	keep	饮酒礼俗主题下的笑话、劝戒和反讽故事。
009.喝酒——喝也不行，不喝也不行.txt	字源、酒礼总论、词语解释	exclude	说明文字，不收。
010.音乐——华夷交响乐.txt	孔子听韶、孔子正乐、伯牙、南郭先生、蔺相如击缶	keep	音乐主题下的典故故事，均有故事动作或反差。
010.音乐——华夷交响乐.txt	乐器分类、雅乐/俗乐论述	exclude	分类说明，不收。
011.家族——人愈多愈好.txt	曾子被打、张公艺百忍、方孝孺十族	keep	家族伦理主题下的具体故事。
011.家族——人愈多愈好.txt	宗法制度、家族层级图解、泛论	exclude	制度说明，不收。
012.女性——牌坊要大，金莲要小.txt	李林甫弄獐、戚家寡妇、岑德固火山孝子、李鸿章母大脚	keep	女性/贞节/缠足主题下的讽刺故事。
012.女性——牌坊要大，金莲要小.txt	程颢饿死失节	proofread_drop	校对轮删除；主体是观点，不是故事。
012.女性——牌坊要大，金莲要小.txt	女子称谓、三从四德、牌坊数字、一般论述	exclude	概念和资料，不收。
013.光绪朝对节妇贞女的旌表.txt	乔氏存孤后自尽明节	keep	原文完整转引一则节妇故事。
013.光绪朝对节妇贞女的旌表.txt	旌表名单和制度材料	exclude	清单和制度，不收。
014.从高玉树为儿子“冥婚”看中国两面文化.txt	曹操为曹冲冥婚、韦后弟弟冥婚后离婚	keep	冥婚主题下的具体故事。
014.从高玉树为儿子“冥婚”看中国两面文化.txt	高玉树补办冥婚	proofread_drop	校对轮删除；新闻事件开场，用来引出冥婚论述，不作为独立故事。
014.从高玉树为儿子“冥婚”看中国两面文化.txt	冥婚概念、历史意义论述	exclude	说明文字，不收。
015.欢喜佛.txt	某喇嘛造欢喜佛劝婚	keep	欢喜佛源流中的具体传说故事。
015.欢喜佛.txt	嘉靖大喜殿欢喜佛	proofread_drop	校对轮删除；偏宫中器物史和记录材料，故事性不足。
015.欢喜佛.txt	佛像种类、器物描写和来源考辨	exclude	资料说明，不收。
016.中国民族“性”.txt	秦宣太后以性喻救韩、陈灵公夏姬内衣戏朝	keep	性观念主题下的古史故事。
016.中国民族“性”.txt	五伦推导、民族性论述	exclude	论述，不收。
017.人能感动蝙蝠论.txt	韩愈祭文逐鳄鱼、孔庙斋戒作文驱蝙蝠、冯希乐老虎过路	keep	“感动动物”主题下的荒诞故事。
017.人能感动蝙蝠论.txt	感应理论和引文考证	exclude	论证材料，不收。
018.人能感动老虎论.txt	童恢审虎、张昺限虎到庭	keep	人能感动老虎主题下的完整故事。
018.人能感动老虎论.txt	其余虎患清单	exclude	多为一行引文，未展开。
019.鼓声咚咚的中国之音.txt	涂山氏误鼓、宋襄公、曹刿、邵广二子、青文胜、张反救夫	keep	鼓声主题下的传说、战事和击鼓申冤故事。
019.鼓声咚咚的中国之音.txt	鼓制、鼓名、诗歌和脚注清单	exclude	资料说明，不收。
020.一种失传了的言论道具.txt	蔡京复相尽逐求言者	keep	以求言为名、事后清算的政治讽刺故事。
020.一种失传了的言论道具.txt	谤木制度和华表源流	exclude	制度沿革，不收。
021.记一个不合作主义者.txt	李可从拔牙出战、李二曲劝母、自学、寻骨、拒拜、被抬床、敷衍谢表	keep	李二曲一组不是李敖自身事件，且均围绕不合作主义展开，有人物行动和转折。
021.记一个不合作主义者.txt	李二曲生平概述、拒征文书、总论	exclude	传记说明和长篇引文，不单独收。
