file	paragraph	line_start	line_end	char_count	score	snippet
001.爱情的秘密.txt	4	7	7	135	3	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
001.爱情的秘密.txt	41	81	81	98	3	译得虽然不满意，但总觉得比朱译稍胜。我认为诗以有韵为上，没韵的诗，只证明了掌握中文能力的不足。台湾的所谓诗人和译诗家，既不诗又不韵，像性无能者一般，是“诗无能者”，却整天以阳痿行骗，真是笑话极矣！
002.沙丘忆.txt	2	3	3	241	4	阿瑟·戈登（Arthur Gordon）写过一篇短篇小说，叫《奇人述异》（The Stranger Who Taught Magic），写一个十三岁的小男孩，在一天清早，蹲在河边看鱼，一个陌生人走过来，这陌生人有一张苍白清瘦的脸，一对非常特殊的眼睛，表情似愁非愁，但是友善而令人难以抗拒。陌生人希望小男孩教他钓鱼，小男孩同意了。陌生人说：“也许我们应该彼此介绍...
002.沙丘忆.txt	6	11	11	386	4	陌生人教小男孩，注意生活里的节奏（rhythm）。他说：“生活充满了节奏；语言文字也该有节奏。不过你得先训练耳朵。听听静夜的涛声，可以体会其中的韵律；看看海风在干沙上的痕迹，可以体会句子里应有的抑扬顿挫。你懂我意思吗？”（“Life is full of it；words should have it, too. But you have to train ...
002.沙丘忆.txt	7	13	13	206	3	为了做这种节奏实验，有一次，陌生人举出15世纪马洛礼（Sir Thomas Malory）《亚瑟王之死》（Le Morte d'Arthur）中“骏马悲撕”（And the great horse grimly neighed）—段，要小孩子把眼睛闭上，慢慢念出这一句、体味这一句，问小男孩，你有什么感觉？小男孩说他闭眼一念，就“寒毛直竖”（“It gives...
002.沙丘忆.txt	8	15	15	215	3	陌生人还教小男孩看云，他指着一片云，问：“你看见了什么？看见五颜六色吗？这不够。要找尖塔、吊桥，要找云龙、飞狮，要找千奇百怪的野兽。”（What do you see there? Colors? That's not enough. Look for towers and drawbridges. Look for dragons and griffins...
002.沙丘忆.txt	9	17	17	347	3	陌生人的花样还多呢！他不但教小男孩如何看云，还教小男孩如何看蟹。他抓起一只蟹，照小男孩教他的抓蟹脚的法子，抓住后脚，问小男孩：“用麦秆似的眼睛，你看到了什么？用乱七八糟的脚，你碰到了什么？你的小脑袋里想到了什么？试试看，只要五秒钟就行了。不要把自己当成男孩，把自己当成蟹！”（What do you see through those stalk-like e...
002.沙丘忆.txt	12	23	23	99	3	两星期过去了，小男孩回到河边，陌生人不在了；找到旧居，陌生人也不在了；找到附近的女太太，女太太说：陌生人病得厉害，医生来了，打电话给他亲戚，他亲戚把他接走了。他留下一点东西给你——他知道你会找他的。
003.除却一寒冬.txt	35	69	69	182	4	这两首诗的意境，颇为悠闲超迈。我译它们的时候，既无“绿树荫荫”，也无“煦煦春阳”，但我在牢里，的确有了“仇敌都不见”的清静。只是牢里的冬天很冷，我可以不见“仇敌”，但却无法不见“寒冬”，在“寒冬”来的时候，为了御寒，每天晚上，我要在阴暗的灯光里，咿哑的地板上，不断来回走着，边走边背书，经常两三个小时。我之能背书、能走路，都拜坐牢之赐，坐牢对强者说来，真不是坏...
005.评改余光中的一首译诗.txt	6	11	11	203	3	书中最引我注意的是桑塔亚纳那首《悲悼》。余光中把英文原题印成With You a Part of me，显然就有问题。因为这诗本是桑塔亚纳《给W. P. 》（To W. P.）诗的第二首，余光中的错误，可断定是照抄Louis Untermeyer的“The Concise Treasury of Great Poems”而来。因为Louis Untermey...
019.情律.txt	12	23	23	63	3	②十多年前，家昌装出一副苦脸，对我感叹说：“敖之啊，我怎么办？就是浑身上下长七千根鸡巴，也肏不完天下美女！”我听了，为之大笑。
021.剪他三分头！.txt	21	41	41	68	3	这诗发表后，我看到1981年11月4日的《中国时报》，在“异想天开”栏下，有板桥市民权路陈迪先生写的一篇《请部长也剪三分头》，全文如下：
