file	paragraph	line_start	line_end	char_count	hits	snippet
007.李玉阶与天命.txt	4	7	7	222	故事|一天	我的确不知道在《自立晚报》以前的李玉阶是个宗教狂热者，但我听萧孟能夫人朱婉坚告诉我一个故事，对李玉阶印象深刻。故事如下：港星穆虹来台，人争见之。有一天，李玉阶说要南下参观，当时的确有这么一个以报老板为主的参观团。老妻不疑有他，特到车站送行。不料车到万华，李玉阶就跳下来，换了三轮车而遁。正好那几天李子弋行踪诡谲，子弋嫂廖素雯跟婆婆哭诉，说子弋一定去穆虹家了。于是婆媳二人，联手出击，到中和乡穆虹家去抓。不料破门而入之际，沙发上坐的，竟是李玉阶！
013.李子弋该打屁股.txt	3	5	5	380	故事	我愿在这里立刻代子弋老哥澄清，并为李氏父子庆幸，因为这一讹传，我不止听萧孟能夫人朱婉坚说过，也听一些人说过，如今经李敖一言九鼎，得以正式澄清，亦子弋老哥尽孝之一大契机。我与子弋老哥相识二十五年，深喜其人坦白豪爽、有真性情。这种真性情，有时也会屁股挨打。一千八百年前，思想家王充只不过说了他爸爸“勇势凌人”、喜欢打架，就被六百年后的史学家骂他“述其父祖不肖”、“厚辱其先”了；如今子弋老哥辩正遁走会穆虹事件不实之余，却不讳他爸爸“征逐声色”那些事，他该打屁股，还用说吗？人间总有不虞之誉，也有风流之毁，正此失彼，反易描黑。何况，遁走会穆虹事件，是一大佳话、一个罕
027.“何其声之似我也！”.txt	3	5	5	188	话说	我想我的小老弟林浊水（包括林义雄等新“宪法”迷）等人，大概不知道他们今天说的话，正是四十多年前国民党又搞总统制又搞内阁制时说的话！正因为国民党当年有那种“现实与理想的考虑”，所以贻害至今！四十多年后，国民党教育下的最出类拔萃的台湾人又来了！他们还说要反国民党呢！他们是国民党教育下的最成功同路人，只是昏然不自知而已。古话说：“此非吾君也，何其声之似我也！”国民党要偷偷笑死了。
028.又一个捡便宜的.txt	4	7	7	314	一天	郭倍宏只是一个1955年生的台湾台南人，在台大学土木工程，并且是国民党党棍。1980年去美国留学后，还是国民党的“职业学生”。1981年任北卡州大中国同学会财务负责人、北卡地区国民党小组长、1982年还竞选中国同学会会长。1983年宣布退出国民党，摇身一变，加入“台独联盟”美国本部，四年之内，夺权干到本部主席。总计他从做国民党的“职业学生”到背离国民党，于今才不过短短的六年时间，论在国民党内实际作恶，有功可录；论在为台湾人真正打拼，却乏善足陈。他没冒过一点险、没犯过一次难、没坐过一天牢、没吃过一日苦，仅以暴风雨中在外国一待九年的半做线民半逃兵，竟摇身一变
032.有劳小民丑表功.txt	2	3	3	448	故事	11月8日，在省政府任职的王长虹先生写信给我，告诉我一个故事，他说，省议员为了竞选，“要各厅处压迫我们替他提供一届四年、二届八年、三届十二年的分年列表‘政绩’，以向选民‘表功’。四年、八年、十二年，我们要在档案中一件、一件的找，有多难找呀！（现在的行政机关不够科学化，没有把民意代表的资料输入电脑）而且一般档案的‘保管期’，五年及十年，十年后，如不是重大案件，都烧掉了，叫我们到哪里找？要多少时间才能完成一个省议员的‘政绩’，他们（议员）还要我们‘限期交卷’，省议会有七十七位省议员，不是要‘整死’我们小公务员吗？无给职的民意代表省议员，每月可收入新台币十多万
032.有劳小民丑表功.txt	3	5	5	18	故事	看了这个小故事，才知道省议员多可恶！
035.郭倍宏原来是国特！.txt	2	3	3	220	一天	11月23日我写道：郭倍宏在台大学土木工程时，是国民党的党棍，1980年去美国留学后，还是国民党的“职业学生”、“国民党的线民”。从他做“职业学生”到“线民”到背离国民党，于今才不过短短的六年时间，论在国民党内作恶，有功可录；论在为台湾人真正打拼，却乏善足陈。他没冒过一点险、没犯过一次难、没坐过一天牢、没吃过一点苦，仅以暴风雨中在外国一待九年的半做线民半逃兵，竟摇身一变成为台湾人的英雄。这种英雄，未免当得也太荒谬、太容易、太没是非了吧！
039.冷眼看选热.txt	2	3	3	273	有一次	谈到美人儿隐瞒年龄，我曾目击一件妙事。我的朋友李翰祥的夫人张翠英女士，美人儿也，虽岁华老去，余妍犹见当年。有一次在李府做客，席中谈及李丽华的年龄，我们客人所记得的岁数，都被张翠英否决，而她所说的岁数，都比我们说的小了许多。我们知道张翠英对李丽华素无好感，如今对“影敌”的年龄，竟力加维护，宁非可怪？后来我才悟出道理：原来当年张翠英和李丽华固同台演少女戏者也，两人固然争“雌”，但却同庚，替李丽华瞒岁数，就是替自己瞒岁数；把李丽华年纪瞒住，别人就难以类推出自己的年纪，可见为人者己愈有、瞒人者人亦瞒之，年龄互保，人同此心，大家有所保留，亦大好事也。
039.冷眼看选热.txt	3	5	5	167	故事	选举热潮中，什么国民党、什么民进党，都使尽浑身解数，不择手段，朝对方丢大便，任何他们所服膺的“温、良、恭、俭、让”，全都忘得一干二净，而以互揭对方内幕为能事。我觉得，双方总该隐瞒一点，才够味道，精锐尽出的干法，太不斯文了。我觉得这个美人儿隐瞒年龄的故事，也许可资反省反省。政客也要讲究情调的，你为我隐，我为你隐，民主“风度”在其中矣！
041.“户半开”的民主.txt	3	5	5	211	话说	什么是“户半开”的民主？“户半开”的民主是一种似真又假的民主，它只是民主假象，“户半开”，只是似开非开，纵使你推门而入，其实进的，也只是外院，距离真正的登堂入室，还早得很哩！换句话说，这深宅大院的豪门，真正的权力核心，还在内室卧室。“户半开”一下，纵使让你进门，也不过是在外院跟你演戏。——“望得人眼欲穿，想得人心愈窄，多管是冤家不自在。”对民主有信仰的人，真以为从此就可“云雨会巫峡”，做成《西厢记》男主角，还早得很哩！
