file	paragraph	lines	score	markers	text
006.蒋介石笔下的孙铭九.txt	16	31-31	22	故事|最后|问|答|说|他说|回忆|死|枪毙|请|蒋介石	八、蒋介石说第二天孙铭九来见，请他移居，他说：“此处即我死处，余誓死绝不移出此室。”孙铭九回忆却是：“12月13日晚间11时许，张学良把我找去，说：‘我想把委员长搬到咱们这里来住，刘师长去请，他不肯来。我看你与他对付得很好，你去一趟吧。想办法请他一定搬到这里来。’我即去新城大楼，为了免除蒋的恐惧，我特意将服装整理一下，把腰间手枪顺着皮带转到身后，才小心地推门进去。刚向蒋敬礼还未开口，他便惊慌地急问：‘你这么晚来做什么？’我立正答道：‘副司令请委员长搬家，命令我来接委员长。这里不舒适，副司令公馆旁边的新房很清静，请委员长起来同我一起走吧！’蒋即说：‘我不去，我不去！今天这样晚了，你来干什么？明天再说，你回去。今天太晚，我不去。’我上前一步说：‘请委员长起来走吧，晚间外边无人，方便些。’说了半天，他还是不去。这种情形说明，蒋是误解了我们的用意，以为我们要在黑夜间把他拉出去枪毙，因而怕离开住地。我看不好再勉强行事，便后退一步说：‘今天黑夜委员长不愿意搬，我回去报告副司令一下。’蒋松了口气说：‘好，好！你快回去吧。’我出来用电话报告了张学良，张说：‘就等明天吧。’这时已是凌晨1点钟了。次日（12月14日）下午，张学良又叫我去看蒋，并问他是否需要什么东西，以便使他心情平静下来，便于进行谈判。这次见面，蒋似乎已明白我昨夜来此并无加害他之意。我一进门，蒋即说：‘你是一个好青年、好青年。’接着讲了一套文天祥、史可法忠诚爱国的故事和孙中山蒙难得救的经过等等。神色与昨天不同了。又说：‘我是国家的最高统帅、军事最高长官，军人应以服从为天职。你是军人，应以服从长官为重。’我看出蒋的用意是要我服从他，便说：‘我绝对服从我们的副司令。’他又转了话题说：‘你们家中都有什么人，东北家乡还有父母吗？我也是贫农出身的。’想用这些话来取得我对他的同情。蒋最后还说：‘以后你常到我这里来听故事吧！’我回去把这些情况都向张学良做了汇报，张说：‘随他讲去吧。’”
007.蒋介石放水成性.txt	39	77-77	22	有一个|后来|最后|原来|结果|说|死|求|请|蒋介石|国民党	孟绝子又综合论述：那一次国民党制造的水灾破坏了河南灾区土地的生态，影响了后来的农作收成。到了1942年，春天没有下雨，夏天没有下雨，秋天没有下雨，冬天下了雪，农作没有收成而天气又冷，饥寒交迫之下，开始有了死亡。河南三季没有雨，国民党就应该知道那个地区的农作物全部没有收成，进一步也就应该知道有人会饿死。这时候如果国民党下令把隔壁陕西境内仓库中丰富的存粮拨送一部分到河南，河南饿死人的灾难也就不会发生了。结果，最应该做的，国民党一样也没有做；最不应该做的，国民党偏偏全做了。1942年，驻在河南的军队向重庆的国民党中央当局要求补给军粮，国民党中央当局的指示是“就地征粮”，所谓“就地征粮”就是要军队在驻地自己设法弄军粮。在这一道指示命令下，军队变成了“合法的土匪，有执照的强盗”。他们纷纷到老百姓家搜劫粮食，他们不是搜劫到他们够吃的为止，他们是尽量收集。之后，各级指挥官再偷偷地拿一部分卖到黑市市场中去。卖到后来，士兵只能吃到九成饱、八成饱、七成饱。大户人家都有关系、背景和特权，“就地征粮”的对象是贫苦的小农小户。小农小户除了被“就地征粮”之外，还要向国民党地方政府缴田赋。老百姓从春雨没有来的时候起就请求免掉田赋。远在重庆的国民党中央当局，拖到10月31日蒋介石生日那天，为了表达“蒋委员长的德意”，才宣布免掉河南旱灾灾区农民1942年的田赋。不幸，这个德意宣布得太迟了。河南国民党地方政府已经把1942年农民的田赋收过了。在“就地征粮”之后，为了向国民党缴田赋，小农小户或变卖家产、或变卖用具、或变卖儿女。天气转凉之后，饥饿也开始了。天气愈冷，灾情愈惨。在饥寒刚刚开始后，远处各城市的妓女院老板都纷纷到灾区来廉价“收购”女孩。大地主们则乘机廉价大量收购农地。通常一块一年收成二十磅或三十磅小麦的地，这时候投机地主只要用十六磅到十八磅小麦就买到手了。后来，那些家人死光了的无主农地，在官商勾结下，由大地主和贪官分掉。白修德一路上看到有冻死的、有饿死的。死的人当中，男女老幼全有。有一些还没有饿死的人还在抢着吃草根、啃树皮。有些大人把死掉的孩子煮熟了吃，有些大人把别人家死掉的孩子弄来煮熟了吃。人们原来养的狗几乎都变成了野狗，不再住在农家里吃人屎，而去到处游荡，专吃人的尸体。一路上各村庄十室九空。有的整个村庄只有一个老人在等死。有的村落死寂如坟，一个人声反而就会如同一下晴天霹雳。令白修德毕生难忘的人间悲剧是在雪地上看到一幕景象：一个男人和一个女人，躺在冰冷的雪地上，互相紧紧地抱在一起，没有力气说话，也不想再说任何话，只是在用濒死前最后的一点力气，在如怨如恨如诉的 低泣。
015.蒋介石与康将军之洞.txt	7	13-13	21	有一个|后来|最后|忽然|问|说|骂|跑|死|共产党	6月16早晨5点钟，天还没亮。襄阳巷战已经发展到城东康司令总部的核心堡垒。对方突入围墙后，在院子里打了十几分钟，司令部里的人就缴了械，对方开始搜索康司令的下落。后来他们在中间大碉堡的第一层里，找到了副司令郭勋祺。直到下午，他们还没找到康司令，便命令已经被俘的、康司令的少尉随从傅起戎做向导，到处搜索。……他们在司令部门口的下面，找到一条地道。阴湿、狭窄，什么也看不见。一阵阵闷热夹着血腥气，他们都快呕吐了。里面的尸体横一个竖一个躺着，样子难看极了。他们亮着电筒一步一步搜索，顺着地道向左侧一拐，尸体还是堆得满满的。对方感到很奇怪：“这个地方并没有经过激烈战斗，为什么有这样多尸体呢？”……再向前走一个石梯，爬上石梯之后，他们又往下走，到达一个很深的大坑里。每个人都弯着腰连爬带走，闷郁几乎使他们窒息。这时他忽然看见一洞，洞口塞着一个死尸，脑浆或血水还在一滴一滴淌着。他们都把尸体拖开，看见里面有五具尸体。猛的有一具尸体爬了起来，把他们吓了一跳。傅起戎脸色都变，扭过头来就往外跑。……共产党一把拉住他，叫他别害怕，傅起戎一面喘气一面说：“我不敢见他，他就是康泽。”后来对方有一个名叫安秉仁的副教导员用电筒一照，康司令却又猛地倒在地上，一动也不动了。安秉仁问：“快说，你是不是康泽？”等了好大一会，康司令才说：“我是一个军官，把我弄出去再说吧。”对方就把司令抬出来。刚出地道，我们已经被俘的士兵都哇啦哇啦地叫道：“司令给捉住了！司令给捉住了！”康司令一听又猛地躺下，说什么也不肯立起来。……他在地下躺了很久，对方的人连哄带劝、连说带骂，最后算是立了起来，给押到前线司令部。康司令满头满脸满身满胸都用泥抹遍，还抹了一些死人血。草绿色的咔叽军服，给血泥涂得不成样子。后来他们给司令换了衣服，洗了脸，人们才看清楚的确是康司令：高额角、粗眉毛、方脸大口。他两腿给炮弹片擦伤一些皮，伤得不厉害，见了共产党的第一句话，就问：“贵部有医生没有？我的腿子该不会残废吧！”
001.蒋介石在现场救孙中山？.txt	24	47-47	17	有一个|最后|问|说|蒋介石|国民党	《蒋介石传》这本荒唐的书，印的是“德籍远东问题专栏作家施德曼与费德林史坦夫妇”合著，由“国立编译馆主编”、“辛达谟博士译”，书中这样一段，可说平均每两行就有一个错，真是驳不屑驳了。书中最后说“二人登上一艘英国军舰前往香港”，倒真可跟沈云龙的马屁史相伯仲。——国民党的历史呀，真要命！
005.蒋介石与张学良之三.txt	46	91-91	17	故事|后来|问|说|请|国民党	就这样的，十年过去了、二十年过去了、三十年过去了、四十年也过去了，但是国民党还不放过他。在张学良八十岁的时候，国民党在电视《大时代的故事》联播里，居然还搅起九一八那天张学良的行踪问题。《大时代的故事》由台视节目部经理李圣文主播，由陈在俊编撰，实际上是国民党党史会秦孝仪支援的。他们在1980年6月2日的节目上，又拿这个问题来臭张学良。这一无知的举动，终于使何世礼将军看不过去了。何世礼是九一八事变时的东北少校参谋，他是广东宝安县人，在英国、法国学炮兵，被东北军看中，请到东北去。他当时宁愿不做高级军官，而从低级军官干起，以获取较多经验。后来他升到国防部次长、驻日代表团长、驻联合国军事代表团团长，以陆军二级上将退役。现任“国策顾问”、香港《工商日报》董事长。他看了《大时代的故事》后，在1980年10月号的《中外杂志》第二十八卷第四期里，写了一篇《为历史作见证：“九一八”之夜张学良在何处？》全文说：
006.蒋介石笔下的孙铭九.txt	17	33-33	17	故事|最后|死|蒋介石	根据以上的八点对照，发现在蒋介石的笔下，他自己是威武不屈的、临危不乱的、视死如归的、神气活现的、大义凛然的；但在孙铭九的笔下，他却是藏头缩尾的、狼狈不堪的、贪生怕死的、张皇失措的、喜怒无常的、坐在地上耍赖要马骑的。最妙的，是他不止一次称赞孙铭九是“好青年”，据孙铭九告诉陈平景，从捉蒋那一幕，他充分看出蒋介石的性格，一面是上海青皮的无赖性格，一面是上海奸商的奸诈性格。蒋介石最后且以“孙中山蒙难得救”的故事想打动孙铭九，一切就都呼之欲出矣！
005.蒋介石与张学良之三.txt	37	73-73	15	故事|问|说|请	某次，与杜月笙等闲谈中，有人说到张汉卿。余道：“汉卿在雪窦寺时，数次提到杜先生，说是：‘很够朋友！很够义气！’颇表怀念。”杜欣然问道：“伊阿有讲起上次出国时的故事？”余道：“他自家当不便多谈，杜先生可讲把我们听听。”杜即眉飞色舞的说道：“伊在北方未动身前，就接到许多匿名信、恐吓信，还有宣布罪状的文书一大堆，多是从上海寄发的。伊派人先拿到上海来，送把我看。阿拉仔细研究了一阵。想到，一定是张子廉的阴谋（子廉为洪门一头儿，辛亥革命时，曾偷取杭州旗营所有炮闩，致满兵无法开炮，亦沪杭闻人之一），就请来问道：‘子廉哥！听说侬要同张汉卿过不去，阿有格桩事体呀？’子廉虎的站起来道：‘大家都要同伊过不去。何止阿拉！伊把东三省送掉啦，热河又完了，就想一走了事吗？’我说：‘请坐，请坐。慢慢交讲。’随又说道：‘东三省格桩事体咧，是伊的大错。但是伊丟脱勒，仍旧要伊拿回来呀。伊还年轻，又有志气，想到上海来戒烟后再出国，但若到了吾俚格地头上，有格三长两短，伊连戴罪立功的机会也都没有了，那时人家不怪伊，反怪吾俚上海人把东三省永远断送，连拿回来的希望也没有了，真是何苦呢！’子廉气鼓鼓的不响，等了一阵，气慢慢平下了。伊说：‘杜先生！侬那哼讲，阿拉就那哼做。我回去劝告大家，不要对付伊吧。’”
002.为《蒋总统秘录》歪曲历史指谬.txt	113	225-225	14	有一天|后来|说|他说|请	③唐祖培《民国名人小传》（章太炎传）中说：“十九路军当一二八血战时，主之者为铭枢及其参谋长张襄、浙沪警备司令部参谋长林建铭，皆方震之保定学生，师门请益无虚夕，夜半喁喁细语，皆师生研究战略之秘密会议也。”又曹聚仁《蒋百里评传》第一章“文艺复兴与时代气息”：“有一天，那是一二八战后的第三天，2月1日。他和我们在一家咖啡馆喝茶，翻阅那天上海版的每日新闻，头条新闻是日本陆相觐见天皇的电讯。他沉吟了一下，对我们说：2月5日早晨，会有日军一师团到达上海参加作战了。他何以这么说呢？他说日陆相觐见天皇的意义是报告陆军正式作战。依日本当前的运输能力，三天之间，可运输一个师团兵力、四万战斗兵及其装备到上海，所以他估计这一师团，5日可以投入战斗（后来，他把这一估计告诉了蔡廷锴将军）。果然，一二八战役，日军的第一场反攻是从2月5日开始的，他估计得非常正确。我对于百里先生的钦佩，就是这么开始的。高子白先生悼诗中，有‘论兵迈古闻中外，揽辔澄清志羽纶’句，也说百里是现代的诸葛呢。”
013.蒋介石与自己降将.txt	20	39-39	14	有一个|最后|答|说|死	讲到这里，我要告诉你们一个事实。我自从前年徐蚌会战军事挫败之时，我就抱定了以身殉国的决心，来报答我们总理和全国人民付托的重任，尽了我的职责。我这个存心，从来就没有对任何人说过，本来也就没有对你们说的必要。但是我们今天已经到了生死存亡的关头，我们每个人心里，都应该有一个最后的打算，所以我今天要把我年来的决心告诉你们。
014.蒋介石与康将军之衣.txt	56	111-111	14	最后|原来|说|死|蒋介石|杜聿明|黄维|国民党|共产党	蒋介石这里讲康泽“十几年来抗节不屈的情形”，说他“身体早已衰谢不堪，据说他的牙齿都脱落得快没有了，这十多年，真不知道他是怎样熬过的”；说他“见死不更其守，凛然的节概，实在使人怀念和感叹”。对照起罗才荣所说“被俘不屈”的话，自是同一宣传路数。不过，“康泽同志在大陆上被俘囚禁之中”，真如他们所说，是“抗节不屈”、“被俘不屈”的吗？据我们所知，恐怕也大不尽然。原来中共释放国民党高干，前后共有七批：第一批1959年12月4日，特赦杜聿明、宋希濂等三十三人；第二批1960年11月28日，特赦范汉杰、李仙洲等五十人；第三批1961年11月25日，特赦廖耀湘、林伟俦等六十八人；第四批1963年4月9日，特赦康泽、孙度等三十五人；第五批1964年12月12日，特赦王陵基、李守信等五十三人；第六批1966年4月16日，特赦方靖、徐钟瑞等五十七人。第七批1975年3月19日，特赦黄维、李九思最后一批二百九十三人。共计特赦释放五百八十九人。康泽既是1963年释放的第四批，比后面的第七批要早十多年，足见他行为“良好”，不在话下，他要是“不屈”，共产党是不会那么痛快放他的。
