file	paragraph	score	chars	preview
003.沈登恩.txt	2	3	161	与陈良埙、沈登恩午饭。饭后去参观远景台大店。登恩搞出版，造次必于是、颠沛必于是，在出版上的精神与信念，非任何市井出版商可及。可惜他时运不济，一次《诺贝尔文学奖全集》计划失败，害得他至今万劫难复。失败之后，他备受人间冷暖。但我一直对他不冷。每逢年节及我生日，他必亲送礼物以示不忘。小沈亦性情中人也！（1991年12月14日）
004.路上拾遗所见.txt	2	3	53	下午走在马路上，见有丢弃在地的竞选传单，有一张是苏秋镇的。标题是“给李登辉总统的第二封公开信”。全文如下：
004.路上拾遗所见.txt	5	4	23	一、伊是混世魔王蒋介石留在台湾最后一个大煞星！
004.路上拾遗所见.txt	11	4	60	四、伊号称治安内阁，结果愈治愈乱。（你知道台湾一日绑票几件？强盗有几件？杀人有几件？窃盗有几件？官兵警察当强盗有几件？）
004.路上拾遗所见.txt	15	3	105	六、伊滥发淫威，滥捕善良（你知道国民党和共产党分裂国土已四十余年，分土而治，由武力统一而至和平共存，台湾国民党国已独立数十年，台湾志士已“无土可分”，仍以分裂国土罪名滥捕下狱，将不同意见之政争视为敌国之战争）。
004.路上拾遗所见.txt	19	5	148	八、伊对台湾工业结构、农、渔业生产完全无知（你知道台湾一颗火星塞还不会做，伊运一个喷射机引擎到慈湖祭拜蒋介石，说是台湾自制，伊抓渔船走私，陆、海、空军封锁南寮渔港，结果所有渔船排在港内休息，渔民天天在岸上望海兴叹，伊不知道台湾近海已无鱼可捉，伊讲农村富裕，伊不知农民家家户户抵押土地，借贷度日）。
004.路上拾遗所见.txt	24	8	298	别人不知，你最知道，恐怖野蛮的统治，视人命如草芥，你也自首过，台共台大支部牵连五十余人，十一位好友在民国四十三年同一天枪毙，枉死马蹄町，老兄，你良心难安，天天祈祷上帝赦免，求取平安，咱台大人为你惋惜，也为你超级斗争技术，由反动派钻入正统派，翻云覆雨，时来运转，接掌台湾江山，钦佩不已，数以千计老贼，老兄略施小计，一条大法官解释，全派（旧派）瓦解，老狐狸精宋美龄眼见大势已去，落荒而逃。如今官邸八大老如丧家之犬，台大人之威力，不是盖的！最后仅剩一招，赶大混蛋滚蛋，就大功告成，流芳百世，稳当台湾王。你在省主席任内，我骂你脑筋不好，这一句话，我看你的表现，等着收回
005.每人每年只花二十元买书.txt	2	7	188	今日《中央日报》记者陈济元采访报导：行政院新闻局副局长廖正豪，昨天应文化大学新闻研究所之邀，做专题演讲时指出，四十余年以来，国人的生活从勉强温饱，到今天衣食无缺、生活富裕，物质生活已不虞匮乏，然而，精神生活却极为贫乏。据统计国人每年每人花在购买图书出版品的钱，平均才二十元新台币而已。廖正豪表示，国人应在“饱暖思艺文”，重新省思对固有民俗文化的参与程度，借以提升生活的品质云。
005.每人每年只花二十元买书.txt	3	5	236	这种现象出自主管图书出版品的头子之口，而自己不以为羞，真官僚也！前新闻局长邵玉铭在所谓第一届“全国文化会议”时指出：解严前，台湾杂志社是3132家，解严后达四千家，成长率是27.7%。但根据1987年主计处调查，15岁以上台湾地区的人口，每日拥有自由休闲时间平均为6小时11分，其中阅读报章、杂志或小说的时间仅占22分钟，显示国人阅读风气仍待加强。另外，1988年每户平均可支配所得为41万483元，而其中用于购买书报杂志文具类之平均费用，仅为3969元，比例尚不足1%。
005.每人每年只花二十元买书.txt	5	3	100	何况，两个头子只提每人每年平均买书的钱只二十元等等，而不提所购何书，也是皮相之见。事实上，一年纵二十元买书，买的书，也绝大多数是“怪力乱神”之作，真正的正经书，还是靠边站的！（1991年12月16日）
008.“蒙最高法院判死刑定谳”.txt	5	3	121	另一名蔡姓死刑犯则表示，他有捐赠器官的意思，这完全是自己的心愿，希望能为社会尽最后一份心力。他也知道是否捐赠器官在执行死刑时所采用的方式不一样，一种是射击脑部，另外一种是射击心脏，他个人觉得，用什么方式并不重要，最重要的是能完成他最后的心愿。
008.“蒙最高法院判死刑定谳”.txt	8	3	137	胡所长强调，死刑犯一旦决定要捐赠器官，需要家属也同意，像月前胡关宝虽同意捐赠器官，但家属不同意，最后还是尊重家属的意见。而死刑犯同意捐器官后，随时可以改变意愿，执行前检察官也会再问一次，只要死刑犯有异议，所方就随时停止捐赠器官的作业，足以证明整个过程完全是尊重死刑犯的意愿。
