file	paragraph	triggers	chars	snippet
《你笨蛋，你笨蛋》目录.txt	2	dialogueQ,case	697	001.送高信疆归大陆序 002.准伤痕文学 003.我写《上山·上山·爱》 004.李敖的“淫威” 005.分个第一给她 006.《胡适语粹》新序 007.《胡适选集》补序 008.五十年是什么？ 009.给王金平院长的一封秘件 010.从李文告小布什说起 011.从眼神到背影 012.《李敖议坛哀思录》小引 013.李敖与民歌 014.我写《虚拟的十七岁》 015.从《马偕行医图》到黄达夫 016.为杨筱筠新书写序 017.吾从其丑 018.石齐平《中国大趋势》序 019.给华严的一封信 020.《李敖大全集》
001.送高信疆归大陆序.txt	10	story,original	9	原来故事尚有后续。
002.准伤痕文学.txt	4	quote	470	“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地精神往来”的有原则知识分子，相反的，他还是党员，未尝不参与打压异己。这种文学工作者，比起日本的懦种文学家川端康成还不如，川端康成在祖国动乱时吓得噤若寒蝉，勇敢抗
003.我写《上山上山爱》.txt	2	told	91	1935我生那年，鲁迅在《且介亭杂文》的“附记”里，提到国民党政府管制言论，当时主持检查的人删文章，并不告诉读者哪儿被删，弄得文章上气不接下气，读者看了，大惑不解，“你在说什么呀？”
003.我写《上山上山爱》.txt	4	example	188	1949年国民党的中华民国亡国了，它逃掉了，逃到台湾，重组了伪政府，按说既然宣布不事先检查了，理应比对付鲁迅那一时代多点言论自由才是，其实不然。事实上，伪政府暗中施出两种方法来“超鲁迅”。第一种方法是“不检即查法”，例如对李敖的书，根本是本本查禁。换句话说，根本检查都不必了，就查禁了事。所以，从形式上看，检查倒真仿佛取消了呢！只是代替的，不是更多的自由，而是更多的查禁而已。
003.我写《上山上山爱》.txt	5	example	83	第二种方法是“一查永逸法”，例如对李敖在杂志上连载的文章，在连载期间即予查禁，前面既被查禁，后续的想印出书也自然不得超生。所以，只禁一期就可一劳永逸，无须期期查禁了。
003.我写《上山上山爱》.txt	8	dialogueQ	117	17年过去了，我卷土重来，终于在我66大寿（2001年4月25日）时，把小说铁定问世。这是继《北京法源寺》后我的第二本长篇小说，30万字，在禁书史上，无疑的，它是世界冠军。——一本小说还没写完就给查禁了，它的“妖言惑众”，还不世界吗？
003.我写《上山上山爱》.txt	14	quote	330	清浊之分，关键何在？《查泰莱夫人的情人》（Lady Chatterley’s Lover）作者劳伦斯（D. H. Lawrence），有篇论文叫《色情与淫秽》（Pornography and Obscenity），对淫与非淫，反复陈词。其实他说得太多了，反不清楚了。事实上，真正的判别方法，乃在读者能不能受小说影响，从而激浊扬清，这就在于小说内容有没有这一功力。《上山·上山·爱》这本小说，涉及的重要主题上百个，发人深省的深度和幅度如此丰富，可谓前无古人，至于后有没有来者，要看我何时死了而定。——我就是我的来者。当我一
003.我写《上山上山爱》.txt	15	story,original	292	《上山·上山·爱》这本小说，书名怪怪的，原因是30年前和30年后，各有一位女主角“上山”。“上山”、“上山”，分属两个人。两个人的20岁生日那天，都在同一座山上、同一个房间、同一张床上，前后虽有30年的间隔，但两人并不陌生，因为她们是母女；但又陌生，因为她们从没见过面，母亲生产时立刻羊水栓塞昏迷死亡，在人间，女儿接替了母亲，也在30年后的同一张床上，跟母亲当年的情人，躺在一起。她全不知道，冥冥之中，她接替了生命，也接替了爱情。当年的情人也在最后才知道，事隔30年，原来她们是母女！他不愿说出真相，为了死者和生者，他只
004.李敖的“淫威”.txt	2	dialogueQ,dialogueS	224	4月25日出版了我继《北京法源寺》后又一长篇小说《上山·上山·爱》，台湾这边，除了登上排行榜第一名并销售一空外，台北市议会传出笑谈，在审查防制青少年《租购出版品自治条例》时，市议员拿出两本新书的影印片段，遮去书名，询问市政府新闻处长金溥聪是否色情作品？金溥聪匆匆看了，说“都是色情”。市议员随即亮出底牌，说一本可是李敖写的。金溥聪立刻改口说：“你不要害我。”“谁都不愿惹李敖。”“我没有说李敖的书情色。”弄得大家笑成一团，李敖的“淫威”，于此可见！
