file	paragraph	line_start	line_end	char_count	score	snippet
001.看谁文章写得好？（代序）.txt	5	9	9	183	4	照笑话说，狗屁文章有三类：第一类是“放狗屁”，程度最轻，是人放狗屁，还不失为人；第二类是“狗放屁”，程度稍重，是狗在放屁，但并不整天放，只偶一为之；第三类是“放屁狗”，程度最重，是以放屁为常业，整天放屁，一放而不可止。由于中国人相信文章是大业、是盛事、是不朽的张本、是富贵的敲门砖、是“天地之精英，阴阳刚柔之发”，所以古往今来，文章特多，狗屁也就三类俱在，臭不...
001.看谁文章写得好？（代序）.txt	6	11	11	331	3	用狗屁来说明，实在不是骂人，而是一种评判标准。所谓文章，基本问题只是两个：一、你要表达什么？二、你表达得好不好？两个问题是二合一的，绝不能分开。古往今来，文章特多，可是好文章不多的原因，就在没能将这二合一的问题摆平。中国人一谈写文章排名，韩愈就是老大，他是“唐宋八大家”的头牌，又是“文起八代之衰”的大将，承前启后，代表性特强，可是你去读读他的全集看，你会发现...
001.看谁文章写得好？（代序）.txt	8	15	15	144	3	又如林琴南说他的文章是“史（记）汉（书）之遗”；古文大师章太炎却大骂林琴南吹牛，说林琴南的文章，乃从唐人传奇剽窃衍演而来。章太炎又说：“当世之文，唯王闿运为能尽雅，马通伯为能尽俗。”其实一切摊开，有何史汉传奇雅俗之分？文章只有好坏问题，并无史汉传奇雅俗问题。文章的好坏标准，根本不在这里。
001.看谁文章写得好？（代序）.txt	9	17	17	142	3	作为新时代的中国人，我们评判文章，实在该用一种新的标准，我们必须放弃什么山水标准、什么雅俗标准、什么气骨标准、什么文白标准。我们看文章，要问的只是：一、要表达什么？二、表达得好不好？有了这种新的标准，一切错打的笔墨官司，都可以去他的蛋；一切不敢说它不好的所谓名家之作，都可以叫它狗屁。
001.看谁文章写得好？（代序）.txt	18	35	35	186	3	狗屁的原因是：白话文的正宗基础太薄弱，胡适等人公开表示他们老一代的白话文是放小脚式的，提倡有心，创作无力；另一方面，白话文的起步一再误入歧途，它们走上“新八股派”、“新之乎者也派”、“旧的吗了呢派”、“新鸳鸯蝴蝶派”等错路上去，乍看起来，捧来捧去，仿佛成功，实际情形却是做人成功，作文失败。小毛头们在这种文风里长大，自然种屁得屁，要他们写出不受污染的清新之作，...
001.看谁文章写得好？（代序）.txt	19	37	37	165	3	奇迹来自李敖这边。白话文在李敖手里，已经出神入化。在中国传说中，五百年必有王者兴，必有不世出的人出世，因此我说：“五十年来和五百年内，中国人写白话文的前三名是李敖、李敖、李敖。”我深信，我这一辈子，其他的功德都不算，光凭好文章，就足以使我不朽。“我纵笔所至不检束”，把白话文写得气象万千、光芒万丈，这种中国功夫，是谁也抹杀不了的。
001.看谁文章写得好？（代序）.txt	20	39	39	113	6	为了给这种中国功夫最新举证，我特别印了两本书——《李敖文存》和《李敖文存二集》，交给“四季”出版、“忠佑”发行，我希望小毛头人手一册，大力见习。说不定有一天，突然出了怪胎变种，把我推翻，那时候，自然我要让贤。把五百年打个折扣。
003.大慈大悲李敖菩萨.txt	5	9	9	156	3	我从“大作家”变为“大坐牢家”以后，每个星期，如不下雨，有四次“太阳见我十分钟”的机会。我斗室独居，偶尔放风时，会碰到新来的泪流满面的满口喊冤的小市民。我因为资深、因为德高望重，被目为“大龙头”，常常被小市民请教。小市民只知道我是龙头老大，并不一定知道李敖是老几。常常在十分钟的请教过程里，我得到一点外面的消息。
003.大慈大悲李敖菩萨.txt	6	11	11	126	7	有一次，一位非常爱哭的小市民，走到我身边，请我代他研判案情，研判过了，“闲话家常”，他忽然说：“有一个大文学家叫李敖的，你知道吗？”我说：“那个王八蛋吗？他怎么了？”他惋惜的说：“他死了！跟北一女的一个漂亮女学生一起殉情了！”他一边说，一边还哭了起来。
003.大慈大悲李敖菩萨.txt	9	17	17	67	3	我万劫归来以后，一天真碰到“北一女的一个漂亮女学生”，她发现我是李敖，为之惊呼：“李敖？李敖？你是李敖！看到你，就好像看到了明太祖！”
