file	paragraph	line_start	line_end	char_count	score	snippet
001.虽非冤家，却也路窄（潘毓刚）.txt	2	3	3	623	6	李敖冒“通匪”之嫌，要我为《预备军官日记》写个序，通常作者都喜欢找个比自己有名的人写序，而李敖找知名度远不如他的我来写，算是保持他的一点反传统性格吧！在他日记里有一首祝我寿的歪诗，里面提到不知为何在台大时没认识我，相见恨晚，其实我在台大校园早已见过这位身穿长袍，阴阳怪气，类似青洪帮的人物，只是我那时不喜欢管闲事，对这种人物不屑去打听他的姓名罢了。虽非冤家，却...
002.真实的历史·素朴的记录（杨尔琳）.txt	3	5	5	164	3	自数十万“国军”陆续进驻台湾地区，以及接续推行兵役制度以来，转眼将届四十年。四十年是相当漫长的一段时间，想想看：在这四十年中，多少人已因尽“国民的天职”进出了这个军中社会？在这四十年的进出之中，个人、军营、家庭、社会之间，相互所产生的激荡、推动又是如何？尤其是我们的军中社会极为特殊，而在军中社会以外，却是看似平静实是暗流汹涌。
002.真实的历史·素朴的记录（杨尔琳）.txt	9	17	17	593	7	除此之外，在个性上、人格上或做人做事的原则上，他另有吸引人之处。他待人非常热心、诚恳、大方，反过来说就是不冷漠、不虚伪、不小气，可以这么说，这就注定成功的当了一名小排长。这里不妨稍对大方解释一下：来台湾后，他没有一天不受穷困折磨，但是从未显露寒酸、计算之相；朋友相处，付钱次数最多的应该是他。他率直、有担当、能为他人着想，这也就贏得了士兵与官长的敬重与照顾，所...
002.真实的历史·素朴的记录（杨尔琳）.txt	11	21	21	366	4	军中在那时是一个很特殊的社会。与今日相较，明显的可见有三项不同：第一、基层有百分比甚大的老兵，年龄足以当充员官兵的父兄。他们各有一本说不完的当兵老账，带领他们，已不是技能，而是升高到艺术。第二、操练极为繁重，随时准备挥军西上，“光复大陆”。以我所属的那一师来说，在“襄阳演习”时，竟然要表演武装游泳渡河，在新店溪上演练个不停。虽然不是全师，也吓人一跳。第三、是...
002.真实的历史·素朴的记录（杨尔琳）.txt	12	23	23	261	3	由于他的出名与坦荡，加上他本来就不打算隐瞒什么，所以他的日记在撰写期间，很多人都侵犯过他的“隐私权”看过。在朋友间也常见传闻。他做的是客观事实的报导，所以真。他很能把握写作的素材，所以切。他写的虽是层次甚低的营房内外生活，但是却能由小看大，导引人做字面以外的心领神会，所以透。他的文笔非常简练节约，用来写实，不论是七情六欲或记述事情，都能使人看起来不烦、不累，...
003.可爱的家伙（刘耀祖）.txt	3	5	5	145	3	一提起李敖，不少人的心目中认为他是很喜欢挖人家疮疤、打官司的大坏蛋，其实他是相当有正义感的可爱家伙，因有正义感，不怕权势，敢打抱不平，所以也得罪了不少人，也吃了漫长的免费正义饭。所谓可爱的家伙，他讲义气，够朋友，绝不会暗箭射人，他不但眼睛不会往上看，有时还会往上瞪，另一方面他很健谈而幽默。
003.可爱的家伙（刘耀祖）.txt	5	9	9	125	5	有一次队中讨论会时，李敖的讲题是“万华宝斗里的经济价值”。才子满肚子学问，讲得有条有理又有趣。其次是打野外，行军途中，旁边有队友问他：“李敖你最近有没有女朋友写信给你？”答：“有一位。”问：“是不是以前的那位？”答：“不，是一位老女人，就是我母亲。”
003.可爱的家伙（刘耀祖）.txt	6	11	11	56	3	最后是步校要结训时要每位队员写遗书留在步校，当时李敖写的是：“若阵亡，臭袜子送给队长，骨灰送给女朋友植玫瑰花。”
004.写序，不能也不会（施珂）.txt	3	5	5	116	3	在步校，敖之与我同一区队，下了部队，第十七师。晚饭之后，常去找他“侃大山”。有个中尉参谋希望我介绍几本“课外读物”，我就跟敖之商量。他建议：何如“无灾无难到公卿”，此事乃作罢论，退伍之后那位中尉还带我去大直的工兵学校看过“汪先生”。
004.写序，不能也不会（施珂）.txt	5	9	9	96	3	这些陈年往事，本来已经忘得差不多了，最近报载：“江南案”主角陈启礼、吴敦、汪希苓个个风风光光的出了狱。从汪希苓又想到了敖之与我的老长官汪敬熙，再加上蒋氏三代，这些人都可真的是“名垂万年”的了。
006.《预官日记》序（陶英惠）.txt	2	3	3	271	3	1959年8月至1960年2月，我在凤山陆军步兵学校预备军官第八期接受入伍教育，被编在第三总队第二大队第九中队第一排。报到时，发现排长是在济南第一临中时同级不同班的老同学马葆庭，真是非常高兴！他陪着我领军服、找床铺位子、理发，表示热诚的欢迎。不料在换上戎装、剪掉三千烦恼丝之后，老同学立即板起面孔对我说，他是排长，我是列兵，在受训期间，要把同学的关系搁在一旁，...
006.《预官日记》序（陶英惠）.txt	5	9	9	418	3	我与敖之兄系台大历史系同窗，他是有名的才子，经常跷课，在校时难得碰到一次面，更少交谈。没想到在步校又与他同队，每天却是形影不离，因为军中与大学不同，他是无法“跷操”的。他在步校的趣事和糗事真是太多了，我无胆秉笔直书，以免构成“诽谤”后对簿公堂。不料他当时留有日记，而且还要印出来公之于世，在我来说真是求之不得。因为从他的日记中，可以像进入时光隧道一样，看看他当...
007.《一个预备军官的日记》引言.txt	4	7	7	128	3	我虽然以老大自居，可是官方显然不承认，因为他们把我“开除军籍”了。我在1972年以叛乱罪被判十年，1975年又被改判八年半。按《兵役法》第5条：“凡曾判处七年以上有期徒刑者禁服兵役，称为禁役。”从此我就失掉服兵役的“义务”（美国说法）或权利（苏联说法）了！
007.《一个预备军官的日记》引言.txt	5	9	9	231	3	我在军中共待了一年半，一年半从戎投笔的生涯，在我生命里掺进了新的酵素。这种生涯使我在突然间远离了学院、远离了书卷、远离了跟民间脱节的一群。在军队生活里，我接触到中国民间质朴与纯真的一面，而这些质朴与纯真，在我出身的“高等学府”里，早已是教科书上的名词。因为不是国民党党员，我在野战部队中吃过一般预备军官不太容易吃到的苦，这些折磨，更凝固了我个人的思想与悍气。我...
008.横槊集·1959年9月.txt	108	215	215	385	3	军中已十日，一直可说积极愉快，目前最心折的人是海明威，我买了一本何欣写的《海明威创作论》，读之颇快，我喜欢他那几次参加战斗，追求死的精神与勇迈，因此在军中生活，我的态度与看法殊迥异于一般人，我觉得这不是虚度日子，这是最好的一种磨炼与生活。因此我在这儿实在可说很愉快。我并非完全忘怀了过去，在休憩和疲惫之余，我也偶然想起往日的欢乐日子与忧郁的岁月，可是它们已经不...
008.横槊集·1959年9月.txt	140	279	279	118	3	操练归来，在报上看到了这个不幸的消息，我真不知道我能说些什么？四年前，我有过和你一样的遭遇、一样的心情，因而我清楚的知道赶紧培养一种内心的达观该是多么必要的事！“适去，夫子顺也。”想想庄子中的老故事，也许对幽明永隔的生者与死者都是好的。
008.横槊集·1959年9月.txt	196	391	391	46	3	郑清茂说：“大家都面露微笑，而你的微笑最标准的。”我言撞车一次才好，郑仁甦言我为“亡命徒”。
008.横槊集·1959年9月.txt	270	539	539	179	3	一、上午赴七一四高地下侧挖防空洞，工作颇勤，维信言：“李敖可有灵感了。”左手三小指间为利草所伤，汗泥满身、满鞋。“大地之子”云乎哉？挖洞时忽然想起我的无数代前的老祖宗挖洞时的那副尊容，不禁失笑。写原野笔记，极爱自然，颇能较深的领味Walden作者的心情。尤其那一排细松路，最凉最幽最美。人多叫苦，殊不能迎接生活者也。精神极为振奋愉快。荷锄归时，默诵渊明之诗。
009.横槊集、插羽集·1959年10月.txt	74	147	147	148	3	十三、归在室中谈，鲍明钦言我真可爱、真有趣。女人一定爱我。义务代六十号站卫兵，彼可去看电影也。与队长小谈，刘区队长检查信，我笑谓指导员曰：“你的饭碗被抢去了！”队长莞尔。小丁来，颇可怜，欲归之意甚浓而未得也。夜比别人晚洗澡，绍辉一同，与副队长小谈。后打手电偷写此日记。今日凉而舒适，卧床上极安逸。
009.横槊集、插羽集·1959年10月.txt	332	663	663	103	3	读来信知您已先我而“蜕变”了。我觉得你朝着“深沉”一方面走是对的。您过去有时太露锋芒，过分发散。今后若能稍加收敛，以您才华之高，一定会有更大的成就。戏谑与玩世固可获快乐于一时，但究竟是短暂的、表皮式的。……
009.横槊集、插羽集·1959年10月.txt	409	817	817	138	4	五、今夜阴历九月十五日，有晚会，唱歌舞蹈对口相声等等，皆不外打情骂俏低级趣味，虽然观众却多兴奋呼叫，我打手电写日记读书，队长怪而问之。双簧中的找妈与哭丧倒蛮好玩的。跳火圈及牙咬绳亦佳而难能。锡胤说我很用功，我实在该这样走路——时时刻刻用功。用五分钟的功，半小时的功，一天的功。
009.横槊集、插羽集·1959年10月.txt	460	919	919	229	3	十五、白天整天未外出，晚饭后即去陈家，思为陈购一镜框。与陈先生谈译诗，谈天说地，品茗看书，5:30—8:45甚欢，介绍周正见面。见到黄立三的两个小孪生妹妹甚可爱；大妹妹教小学亦有忠琳之风韵，唯在室内外望，甚不能清楚。唯已有点爱她了。在陈家读报，补抄有关Eirol Elynn史料，今天才算大略了解一个“可爱的恶棍”，其自传因出版商要求删数段不予同意以致未能出版...
009.横槊集、插羽集·1959年10月.txt	468	935	935	123	3	五、上午戏指导员，其言其弟尿床，我言其尿白的其弟尿黄的，他说：“李敖这东西是个枭鸟，不像话。”我又以“于内科”讥之，盖以队长管外表而指导员司思想（内在的）也。下午校长阅兵后指导员说（因我坐在钢盔上）：“李敖愈做愈坏，一句好话也不讲，这样怎么行？”
009.横槊集、插羽集·1959年10月.txt	515	1029	1029	85	3	一、开学典礼，昨早睡，今早饭多馒头半个，且有“他哭昂”，午饭加菜，放“营内休假”（打折扣了），且扬言做得不好星期日要出特别操。我前天跟队长说“威胁利诱”，可谓不算过诬矣。
009.横槊集、插羽集·1959年10月.txt	577	1153	1153	87	3	我在军中已近五十天，五十天的新生活的确给自己带来了不少的看法与转变。我现在是步兵，我想起一千六百九十六年前死掉的一个“步兵”老前辈——阮嗣宗的一首诗，我最爱下面我圈出的几句：
009.横槊集、插羽集·1959年10月.txt	585	1169	1169	84	3	旧式文人最普遍的毛病是“缩头主义”，或叫“王八主义”，就是像乌龟一样，横逆当头，把头（龟头）一缩，任你千呼万唤，也不与“恶势力”合作，可是他也绝不能奈恶势力何，正所谓：
009.横槊集、插羽集·1959年10月.txt	588	1175	1175	708	4	陶潜是这种主义底下的高明的，刘伶是低级的（当然，我在这儿所指的旧式文人，是指“君子儒”而言，叔孙通以下等拍马的御用文人，自不在话下）。我当然不春秋责贤，要用今天的眼光苛责古人，我只是说，他们的人生态度消极有余，积极不足；深度差强，幅度不够。我总是傻想：“设使陶渊明屈就些，少自惜羽毛一些，跟敌人合作——像长乐老冯先生那样多叫几声‘老佛爷’，以他的地位，对当时的...
009.横槊集、插羽集·1959年10月.txt	615	1229	1229	172	6	十一、玉森来信：“来信已收到，又别致，又富有气魄，不过您们的教官看了可要揍您。看您的玉照，觉得您比以前更富有朝气，精神饱满，您现在胆子可大些吧？”鼓应来信：“相片照得满气魄的，我在袁兆真手上已看到，好像肥了些，国家没有白养你们。打油诗写得很好，特剪贴于我日记上。”鼓应、庄因皆得佛学奖学金，实在该以“无耻”詈之，“有奶就是娘”，可乎哉，可乎哉！
009.横槊集、插羽集·1959年10月.txt	645	1289	1289	95	3	每个人都该有正常的自由的真诚的感情生活的，只有在封闭的中国社会，才压抑感情摧毁性灵，使人出于“无题”方式，但是我们不该面对他们，打开每一扇花园和大道和生活隔绝的薄门吗？对这，你懂得比我多的。
009.横槊集、插羽集·1959年10月.txt	743	1485	1485	32	3	八、我问王文藻怕我不怕，他说：“怕你，简直摸不清你是什么脾气。”
009.横槊集、插羽集·1959年10月.txt	801	1601	1601	123	3	……自度已被弃于门墙之外了，不道又有了“约克军曹”式的照片。八分土匪二分军阀的样子，实在令人觉得有点不惯。不知谁说的：“旧派的文人是王八，新派的是臭虫”（敖按：这分明是启庆走漏的消息），想不到你这王八其外、臭虫其中的家伙竟成了如此模样。意外意外。
009.横槊集、插羽集·1959年10月.txt	802	1603	1603	137	4	记得我所偷看的你的日记中，有一段说：“发现以为罗小姐所特有的媚态，在其他女人身上也有时发现。”诚然，女人实在简单得很，如果她喜欢你，她只有几个基本动作。……于是我便要追，追，一直到女孩子对我有了好感，于是我又骇然的撤退，真是妙呀！伏尔泰说：“为了使我不哭起见，我只好笑了。”
009.横槊集、插羽集·1959年10月.txt	817	1633	1633	46	3	小鬼悄悄地离开台北，也不告诉我一声，到了台中又不来信，更该打！你们见面时，应该互打十板手心。
009.横槊集、插羽集·1959年10月.txt	820	1639	1639	135	3	看你表面“玩世不恭”、“满不在乎”，不料触到“人性”深处时，你倒能异乎常人地感受，而不像一贯地左耳进右耳出。我该谢谢你很看重我对你的分析。虽然我自己（也与华俊有同感）觉得对你的批评稍嫌过分，但是我有预感，有信心你会不反对这种bona-fide exaggeration。
009.横槊集、插羽集·1959年10月.txt	830	1659	1659	60	3	其后，我读到较多五四年代的作品，但仍是无头绪地、无目标地“涉足”。其中间或也有颇打动心弦的作品，例如徐志摩的《在病中》：
009.横槊集、插羽集·1959年10月.txt	836	1671	1671	98	3	在更后一段时期，我从杂志、报纸副刊等零星的新诗作品中，发现了中国新诗的新光芒。加之我对英诗的接触日多，使我对诗的内容、形式的视野更广了一点。我看到形式完整、寓意深远的美的作品，如余光中的《孤星》：
010.插羽集·1959年11月.txt	41	81	81	58	3	三、启庆来信：“欢迎您来信指教，不过还是喜欢您在信中多谈些‘生活末节’，少说些‘板脸话’，因为那样比较亲切、有趣。”
010.插羽集·1959年11月.txt	44	87	87	177	3	最近正计划写一封长信给你和老景，却总迟未动笔，现在接到你的信，上面说：“该先把口闭起来，笔放下来，不在空言和书信上面起波折……”把我从前许多“糊涂话”都顶回去了，本来我想写一封长信，上半部寄给你，下半部寄给他，这样你们必须合到一起才能看了，在我原来计划中，我要附一张商展小姐的选票去，现在也免了，商展我也去看过两次，所谓“随缘而住”，也许你不会说我胡闹。
010.插羽集·1959年11月.txt	50	99	99	161	5	新汉有次来信说我们这群人谁也不能影响谁，我回他信时未详谈此点，其实正好相反，我们都在互相影响着，在你给我的信中，我看到你受我影响的地方，在你给庄因信中，我看到你是多么热情的记取他入伍时的宝贵经验，而从我给你的信中，也许你能找到你对我影响的影子，也许它们不如从前浓烈了，每一个“我”都在新陈代谢中，否则这个人也就没有进步了。
010.插羽集·1959年11月.txt	55	109	109	312	5	独居甚久，说话也须愈来愈不清楚，我可是真爱“独居”，最后我想谈几句一说就错的关于“女人”的话，杨姝已经很久不来信了，我不讲没人看得出来，庄因有此经验，可是我仍旧盼着她的信，因为她是“女人”——我爱过的女人，女人是可爱的，因为和我们十分的不同，有我们所没有的许多东西——不论你说她们好或坏，可是我却知道她是很不成熟的，由她的来信中，因为她要过一种“超然”的生活，...
010.插羽集·1959年11月.txt	57	113	113	156	4	对于这样一封信，一定惹起你的疑窦，我是怎么了，我只能说我是在一天天地变着，变得我都快不认识自己了，或者说我是一天天地成熟了，可是成熟有什么用？如果不是“军部”一月给我七百多元，我还不是为衣食奔走，现在坐在遮风的楼角，欣赏名著，侈谈修养，将来雷霆万钧的“生活”来了，我是否能应付得很好，而且更茁壮，我自己都不晓得。
