file	paragraph	triggers	chars	snippet
001.香港的机会，中国的机会.txt	2	dialogue	119	1842年，鸦片战争中国打败的时候，满清大臣耆英上奏皇帝，说英国鬼子宣布说，他们要“直抵京师（北京）讲话”，皇帝紧张了，第二天就密谕耆英，同意割让香港，密谕中皇帝告诉耆英，说你们不要说已接到我的命令，你们要假装是自己的意思，告诉洋鬼子说：
001.香港的机会，中国的机会.txt	11	once	109	最严重的是：物换星移几度秋，中国英国的国势，也今非昔比了：英国狮已衰弱了，中国龙已“恐怖”了。英国人开始焦虑，他们由女首相带队，也只好“直抵京师讲话”了。一世纪前的“前倨”和一世纪后的“后恭”，比较起来，英国真日落了。
001.香港的机会，中国的机会.txt	12	once	189	英国虽然日落，但是香港地区，却是一道霞光。香港在割让当时，在中国官吏眼中，“本属荒岛……从前本系洋盗出没之所，绝少居民”；只不过“该〔英〕夷于近年以来，在土名裙带路一带，凿山开道，建盖洋楼一百余所。……约计夷商不满数百，而内地之贸易及佣力者，已不止数千……”。但是，一百四十多年下来，香港却是最繁荣的“荒岛”了，“洋楼”何止一百个“一百余所”，而居民的数目，已经超过五百多万了。
001.香港的机会，中国的机会.txt	13	person	145	在这道霞光里有一个特色，就是居民的百分之九十八，都是中国人，这样大比例的中国人，在极少数英国人的统治下，居然创造出一个令全世界赞叹的地区，在全世界经济衰退的时候，它还能维持生产总值每年百分之十的成长、还能成为全世界第三个金融中心，这一奇迹，真有中国皇帝所预言的“大家同享太平之福”的味道了。
001.香港的机会，中国的机会.txt	20	dialogue	61	二、行政机构如何产生？如何搞选举？尚未设想成熟，让港人自己去考虑，自己去协商。不过，廖承志斩钉截铁地说：北京不会提出名单。
001.香港的机会，中国的机会.txt	27	dialogue	78	香港问题一定要圆满解决。廖说：收回主权，保持繁荣。成立特别行政区，实行“港人治港”。将来，“一个国家，两种制度。”深圳以北是社会主义，深圳以南继续资本主义。
001.香港的机会，中国的机会.txt	32	person	211	困难重重中有一个最大的症结，似乎没被人认真讨论到，这个症结就是：经济繁荣牵涉到根本的“体”“用”问题。满清的中国人现代化失败，重要原因是他们相信“中学为体，西学为用”。他们只想学洋鬼子的船坚炮利，却没注意船坚炮利背后的东西，没注意还不要紧，他们竟拿出自己的老家当，来当做船坚炮利背后的东西。结果呢，一旦“中学为体”了，“西学”就难乎“为用”了，“西学”的“为用”，实际得用“西学为体”才成。可是，这一真理，他们一直不知道。
001.香港的机会，中国的机会.txt	35	dialogue	398	从香港脱离中国后，一个多世纪来，中国人一直在“体”“用”问题上试验，中国人试验过君主立宪、试验过开明专制、试验过保皇、试验过革命、试验过勤王复辟、试验过再造共和、试验过新华春梦、试验过金陵春梦。……什么都试验过，只忘了试验一件事，就是英国人统治香港那种调调儿。结果呢，一个多世纪的比赛下来，试验出来最成功的，竟是殖民地的香港！竟是“帝国主义”下的香港！对比之下，我们能不气结吗？我们能不好笑吗？我们能不自我解嘲：如果当年中国皇帝不是把蕞尔小岛给了英国，而是甘心亡国，把整个大陆给了英国，一个多世纪下来，中国人民是不是也不
001.香港的机会，中国的机会.txt	38	person	141	所有有志气的中国人，都会赞同收回香港，因为香港是我们的国耻，但是，在“更想收回来了”的同时，我们也别忘了：香港的国耻意义，竟然还有一个，那就是：在一个多世纪的比赛中，香港证明了我们中国人统治中国，竟然比不上“帝国主义”，香港的东方明珠，正反射了我们的黯然失色——这才是我们的真国耻！
001.香港的机会，中国的机会.txt	42	example	286	我的答案是：在收回香港后，不要只把香港当成“资本主义经济特区”，因为这是舍本逐末的、“体”“用”倒置的，香港实际该是一个“中国民主试验特区”。应该充分利用英国一百多年深植的基础，给中国做一个大试验，以“港人治港”为根本，试验出虽然没有英国人，但中国人也可以做到英国式的民主。然后，让“港人治港”的民主实绩，开花结果，给全中国看。看过以后，可以逐步开放试验特区，以香港为师，一省一省带路。例如广东与香港最亲，就可把广东跟香港对立的制度，变为香港的制度，由香港带广东走向另一种制度。这样子高班生带低班生、三年级教二年级，年深
