file	paragraph	lines	score	markers	text
011.高玉树的真面目.txt	12	23-23	22	传说|有一次|最后|问|答|说|他说|求|请|雷震|国民党	还有一次，魏见我对高玉树兄说话有欠客气，他事后对我颇加责备。因他不了解我的个性与彼时的立场，但我还是表示接受他的意见，谈到这里，又不能不叙述我与高玉树兄关系的由来。民国四十三年，高玉树当选台北市长，因闻我做过兰州市长，小有建树，友好李立柏将军曾任过过去驻日军事代表团顾问，与彼时在日经商的高兄相识，因之李兄介绍我与高兄相识，我简单的告诉高兄说：“少搞组织，多进行建设，唯有动土动木的工程，才能便利市民，垂之永远。”以后我因公驻日，与高颇少见面，后高任满而黄启瑞任市长时，高在闲散岁月中，有时来我家谈谈，其时中央党部秘书长唐乃建向我说：“闻高玉树有意与雷震等合作另组反对政府的党派的传说，你与他相识，可否以友谊做做劝导的工作。”因我常住日本，原不明高之活动事实，中央既有所命，自必乐从，我当时向唐提出建议说：我无身份单独做此事，需要郭（骥）副秘书长一同进行，同时我复拉高的好友陈清汾兄帮忙。因那年我被调入国防研究院受训，因此托陈清汾兄与高多次联络，后竟得高同意，每周五下午3时至5时，高、陈与郭及我一同在我家（温州街）晤叙，内容不过作时局分析，以及高本身未来利害种种，计有数月之久。高兄政治判断十分高明，而原先传说也不过是搞政治一个通常姿态，终于表示愿意效忠政府，其后（1964年）台北市长改选期届，高又宣布竞选，其时他竞选演说及标语，对政府及国民党还是找些攻击目标。最后他竟以十九万票当选台北市长。当他去市府接事的前一小时（即该日上午9时），高兄竟莅舍下（温州街）拜访我，其意可能以我曾代表中央方面与他有过联系，要我转请中央以后对他要加助力勿阻力，我正接待高坐下时，魏一人即由碧潭径来我家，我只好请他一同就座，彼时即将到任的高市长向我有礼貌的说：“蔡公！你一向照顾我，我今日去市府接事，请你加以指教。”我说：“你是有十九万市民选出的市长，不要向我玩政治客套。”他说：“我与黄启瑞约妥上午10时交接，诚心诚意先来请教你。”我回答说：“你真的要问我，我就不客气，你今后有三条路可走：（一）照你竞选时演说及标语所标榜那一套去做，做到三年为止，可说是‘自讨苦受’，以后政治生命，要凭你的观念转变。（二）以十九万选民做背景，看风使舵，做得通的就做，做不通的不做，三年任满，可能保留一位十九万选民的太平绅士资格。（三）接任市长以后，宣布效忠总统，一切唯政府之命是从，三年以后，政府可能另有借重，前途无量。”并接着说：“你如果走第一、第二两条路，我们可少来往，倘你愿走第三条路，我们永远做朋友。”高市长正经答称：“我当然愿走第三条路。”因他急着要走马上任，我只好对高兄道贺而言别，那时魏坐旁边，未发一言。高走后，魏对我加以指责的说：“你对一位新当选的市长，为何如此不客气，你还是一位政治过来人呀！”我彼时对魏深表感谢，其实我一向是“快言快语”“独来独往”的个性，从不知有所做作。吾熟读《论语》，孔子曰：“人之生也直
010.由废除送阅制度看林洋港的可恶.txt	10	19-19	19	故事|后来|结果|说|哭|骂|跑|杀|死|蒋介石	试看清朝一个故事，就可明白。西太后当政时，一天她叫太监李三顺带东西出宫，送给她妹妹。依照宫例太监不准走正门，只能走旁门，可是太监一定要走正门，还不听检查，结果跟守门的发生武打，太监跑回去，加油加酱报告西太后。西太后找来慈安太后，说我还没死他们就眼里没有我了，不杀守门的，我就不想活了。慈安太后害怕，就下令杀守门的，掌管司法的官说这可不行，守门的一来没犯法，二来根据祖制，守门就该这样不通融。慈安太后说，什么叫祖制？等我死了，我岂不也是你祖宗？坚持要杀人。司法首长即刑部尚书潘祖荫说，既然交犯人到刑部，就得依法处理，依法处理就是无罪开释，如果太后要杀，太后可以另外自行去杀，不能叫司法官这样违法杀人。慈安没办法，只好告诉了西太后，西太后找来潘祖荫，大哭大闹，捶床大骂，骂潘祖荫没良心。但是潘祖荫就是不肯。后来女人家同意打折扣处罚了事。——西太后统治中国四十七年，但在守法程度上，就不如汉文帝了。虽然如此，她比起蒋介石来，还算规矩得多。
021.大头仔回头磕头说从头.txt	20	39-39	17	有一天|结果|问|答|说|笑|请|国民党	我和国民党的关系，一直维持至民国四十三年12月底被其“注销党籍”时为止。缘国民党第七次全国代表大会后，对党员又重新举办登记一次，我起初不拟参加登记，因为想到过去为了《自由中国》杂志上发表了我的一篇文章，题为《监察院之将来》，曾批评了“以党歌做国歌一事，是一件极不聪明的做法”缘故，而被总政治部检举，几乎被开除了党籍，今后为着这个杂志的文章，可能有一天因言论有触犯忌讳而被开除党籍，故不打算去登记。但当时国民党中央负责组织的人派人来找我，并把表格带来，坚嘱填表登记，而同事刘君也劝我接受好意，并代为填表，不久就接到国民党中央委员会通知，谓我的登记已奉总裁核准，嘱持相片二张去领取党证，而我始终没有勇气去领。四十二年春，某日我与汤恩伯徐佛观二兄在台糖大楼（今为美国顾问团租用），宴请来台访问之日人安冈正笃先生。这一天也约有党部主持组织的某君，他极力劝我去领取党证。我郑重的回答说：“我的党籍将来总会被你们开除的，倒不如自己先开除好。”这虽是一句开玩笑的话，我是深知国民党当局的作风的。果然不出所料，四十三年12月16日这一期《自由中国》上登载了一篇余燕人等《抢救教育危机》的投书，说明目前中学生的课业已够繁重，还要规定学生来念：三民主义、总理教条、总统训辞、青年救国团发下来的必读小册子等等，不料碰到国民党六十周年纪念，还要学生恭读党部发给的《国民党六十周年专刊》，要他们作《我对中国国民党的认识》等类的论文，殊不合理。就在这个月28日蒋总统所主持的“宣传会报”上有人检举此事，认为《自由中国》杂志竟敢反对学生读“党义”和总统训词等等，实为大逆不道……蒋总裁闻之大为震怒，吩咐把我的党籍开除。而主持组织业务之某君亦在座，颇想冲淡此事，说我没有登记。蒋总裁坚持的说：“没有登记也要开除。”结果就用“注销党籍”的方法，把我的国民党党籍开除了。
030.萧天赞错在哪儿？.txt	3	5-5	17	故事|问|说|逃|跑|杀	在《孟子·尽心》篇中，有这样一段对话：“桃应问曰：‘舜为天子，皋陶为士。瞽瞍（舜的父亲）杀人，则如之何？’孟子曰：‘执之而已矣！’‘然则舜不禁欤？’曰：‘夫舜恶得而禁之？夫有所受之也！’‘然则舜如之何？’曰：‘舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。’”这个道德打架的故事，颇能写出中国人的感情与法律的观念。这个故事的重点是，虞舜的父亲杀了人，虞舜的处境该怎么样？依孟夫子的说法，虞舜本人，一方面应该尊重法律，由司法人员去抓他父亲；一方面又该重视亲情，偷偷地把老子背跑，潜逃到海边去，皇帝也不做，天下也不管，陪老子玩一辈子。
011.高玉树的真面目.txt	21	41-41	16	有一次|最后|原来|问|答|说|哭	玉树前后在台北市十一年，试种树木不下数十种，最后发现蒋总统所指示种的樟树和茄苳，不但对汽车排气抵抗力强，而其绿色之美，可以说超过任何树木。有一次召见时，蒋总统问爱国西路拓宽，原来大茄苳树怎么办？玉树答：尽可能设法保留。蒋总统说：对！必须保留。玉树回来后，和工务局同人费尽脑筋，想出一个办法，把爱国西路原路辟开一个园林散步专用道，以保留大茄苳，现在到爱国西路眼看绿荫苍翠，佳木葱茏，在市中心地带还有这样一个散步和运动好去处，也要拜蒋总统他老人家的恩赐。不但如此，台北市建设工作，无论拓宽马路，建设陆桥，打通辛亥、庄敬、自强隧道等，蒋总统都常驱车去看，像忠烈祠的兴建，蒋总统亲自规划指示并改变设计多次，早年拓宽敦化路时，因包商不太规矩，延误工程一段时间，玉树曾面受指责。当时像我这一年资浅薄，少不更事（当时还方逾不惑之年），而又是非执政党产生的一员，总统不以我轻贱，像严父长辈样的亲切训责，当时玉树感激得哭了出来。
031.从关说到求情.txt	6	11-11	16	例子|说|他说|哭|求|请|蒋介石	胡适在《人权论集》中，举了两个1929年中国人只能求情的例子。他说：“如安徽大学的一个学长，因为语言上顶撞了蒋主席（按指刘文典指责蒋介石的事），遂被拘禁了多少天。他的家人朋友只能到处奔走求情，绝不能到任何法院去控告蒋主席。只能求情而不能控诉，这是人治，不是法治。又如最近唐山罢市的案子，其起源是因为两益成商号的经理杨润普被当地驻军指为收买枪支，拘去拷打监禁。据4月28日《大公报》的电讯，唐山总商会的代表十二人到一百五十二旅去请求释放，军法官不肯释放。代表等辞出时，正遇兵士提杨润普入内，‘时杨之两腿已甚臃肿，并有血迹，周身动转不灵，见代表等则欲哭无泪，语不成声，其凄惨情形，实难尽述’。但总商会及唐山商店八十八家打电报给唐生智，也只能求情而已；求情而无效，也只能相率罢市而已。人权在哪里？法治在哪里？”
005.你不能只说一半.txt	19	37-37	15	有一个|后来|问|说	民国六十五年，主管公产的政府机构以荣星花园里面的公产租期已满，又因积欠租金等问题，续租触礁，宣布收回所租的公产，因公产适在大门口，未免将被宰割得支离破碎。一时社会各界都为之惋惜不已，众口一词，无人表示赞同，各报也为此事纷纷撰文报导。事实上，伟甫对荣星花园的兴建，这是很崇高的对社会的奉献，却未被有关方面所重视。此事如出市侩之手，大可凭其所拥有的土地，另做牟利之图。所以，当荣星花园遭此厄运时，伟甫不禁感从中来地说：“二十多年的经营心血毁于一旦，这是令人十分痛心的。”后来台北市虽将公产部分另辟门户，改为“民权公园”，只惜原有的景观尽失，景物全非，未免令人失望。幸而林洋港先生不久接任台北市市长，重视舆情，毅然改由市政府以委托的方式由伟甫负责经营，并撤销“民权公园”之名。于是，这段时间为台北市民们所留下的一层阴霾，始告拨云见日。伟甫遭此干扰，但是他对荣星花园所持的情感，所付的心血，仍然未改初衷，依旧为台北市提供了足以舒展心胸的休闲场所。台北市虽人口愈多，汽车愈多，财富也愈多，民营事业像荣星花园这样的规模，却为未见。有些公园，格局甚小，而且破烂脏乱，到处丢满着废物纸屑，虚有其名而已。伟甫去世后，因债务之累，荣星花园已转手抵押于他人，人事变迁，一切陷于瘫痪的状态，转眼剩下只有一个蔓草丛生、景物已非的废园。回首昔日风光，与伟甫为园而尽瘁的精神，何异人亡政息，令人不胜感慨系之。
022.代“代表”表一表.txt	4	7-7	15	例子|说|跑|国民党	正因为人之患在好为人代表，所以一旦代表得性起，每易越界，把他的代表性做扩张解释。最明显的例子是在台湾的这些“立监委、国大代”，他们原始的代表性，本不合法；如今四十年下来，一代到底、一表三千里，还在台湾代表大陆同胞和在台湾的外省同胞中，可谓荒谬之极。至于在台湾荒谬犹未足，还跑到大陆，假托老儒空言、明占代表实缺，借以妄言于海峡彼岸者，更属荒谬之尤。这些厚脸皮的老怪物，在国民党御用大法官的扩张解释下，和众代表“筑成我们厚脸皮的长城”下，至今我们奈何他们不得。前一阵子美国总统大选，候选人布什在加州，对公路巡逻队演说时说：“许多主流的美国人都觉得1988年的全国民主党简直不能再代表他们自己。”（“A lot of mainstream Americans feel that the national Democratic Party in 1988 just simply doesn’t represent them any more. ”）布什真是少见多怪，他如果看了台湾这些植物人式的万年代表，他再也不敢这样说了。
007.辜振甫“叛乱案”留真.txt	12	23-23	14	有一个|问|说	法官继问林熊祥：“杜聪明和罗万伡都说8月22日往见日本总督安藤利吉是为了告别。你说为了商谈维持治安问题，为何不同？”（按林献堂、杜聪明和罗万伡三人皆为有关本案之证人）被告供称：“我们七人同去，各人立场不同，且未事先洽商，所以想法不同。我有一个金融合作，我的目的是在设法稳定金融。”
011.高玉树的真面目.txt	5	9-9	14	后来|原来|忽然|说|跑|请|请我吃饭|雷震|国民党	陈平景在医院跑来跑去的时候，忽然见到党外人士高玉树从汽车下来。高玉树当选市长那天晚上，殷海光正在家里请我吃饭，饭后我们一起到中华路高玉树竞选总部前看人山人海，也看军警云集。高玉树当选了，殷海光很兴奋，当晚我请他和何秀煌一起到中央酒店看洋妞跳半脱不脱之舞，殷海光和何秀煌两个书呆，那天晚上也颇有好色而不好德的表现。高玉树他们搞新党的时候，与殷海光走动颇勤，所以这次从汽车下来，陈平景第一反应就是“高玉树来看殷老师了”！他匆匆跑来告诉我，我说：“不会吧，政治是最现实的，高玉树不会知道殷海光生病，知道也不会来。他到医院，一定是看别的达官贵人的。”后来一查，果然国民党大员陈建中出了车祸，就便住进贵族医院，高玉树玉树临风，原来在此！（后来在1971年9月3日，我接雷震出狱，高玉树也避之若浼。我不喜欢政治人物，其理在此。）
