id,book,round,status,title,source_file,source_heading,source_heading_line,source_line_start,source_line_end,char_count,text_sha1,story_text
"LZZYHY001","李敖自传与回忆","extract_round1","needs_proofread","和孔夫子一样的“遗民”","001.李敖自传.txt","和孔夫子一样的“遗民”","3","5","5","123","b6fcfb780853f15c23edc121b83a890fec01193c","　　1935年4月25日，我生在中国东北哈尔滨。那时是中华民国二十四年，正是九一八事变后三年七个月，中国东北已在日本鬼子控制之下，日本鬼子导演的“满洲国”也成立了三年多，所以，照历史的说法，我一出生就是“遗民”，就像孔夫子一出生就是“遗民”一样。"
"LZZYHY002","李敖自传与回忆","extract_round1","needs_proofread","从阴历生日到阳历生日","001.李敖自传.txt","从阴历生日到阳历生日","7","9","9","107","1e749099810b42790456fe3e480a814c23fcf3cc","　　我出生时候，还流行用阴历计算，所以一直是乙亥年三月二十三日辰时（上午7至9点），乙亥年生的属猪，三月二十三日的生日一直按阴历过，直到我二十岁前查出是1935年4月25日，此后我就放弃阴历生日了，阴历太落伍了。 "
"LZZYHY003","李敖自传与回忆","extract_round1","needs_proofread","六女二男","001.李敖自传.txt","六女二男","11","13","13","207","27a00c929ec324275da9201c67c1508d53522352","　　妈妈生我时候，已经一连生了四个女儿，这种情形，在那时代，已经有点岌岌可危了。中国汉朝就有“盗不过五女之门”（生了五个女儿的家，连小偷都不去偷）的话，一个媳妇，不老老实实生儿子，却一而再、再而三、三而四的生女儿，这像什么话？幸亏我应运而生，使妈妈立刻从“败部复活”，帮了她的忙不少。在生我以后，妈妈又故态复萌，连生了两个妹妹，那时我在家中地位如日中天，直到最后弟弟出世，才算两权分立。六女二男，就是我的同胞情况。"
"LZZYHY004","李敖自传与回忆","extract_round1","needs_proofread","妈妈学历与女人友谊","001.李敖自传.txt","妈妈学历与女人友谊","15","17","17","148","a378b8d8b3affda825cdebc03235783d9bdaf6a0","　　妈妈名叫张桂贞，吉林女子师范毕业。她在辈份上是爸爸的学生，爸爸在吉林女子师范教高班的，妈妈却在低班，没教到。教到的高班学生里面有申若侠，后来嫁给庄严。那时候，流行高班学生同低班学生交朋友、合照相，申若侠和张桂贞就合照过，照片至今还保存，可是友谊早就“简直没有来往”了！女人之间的友谊真不可靠。"
"LZZYHY005","李敖自传与回忆","extract_round1","needs_proofread","尹女士","001.李敖自传.txt","尹女士","19","21","21","175","faee3495b353e8b3c08de0fcff68e9648e1fbd3f","　　妈妈是以“媒妁之言”同爸爸结婚的，那时爸爸离婚不久，前任是一位尹女士，因为这位女士不生男的，也不生女的，所以难安于位。爸爸给她找来医生诊断，但尹女士是旧式的中国妇道人家，非常“羞医”，不肯让医生看她的妇人病，最后郁郁以死，这当然是“礼教杀人”的一个例。我小时候，逢年过节要同姐姐们折锡箔，装入大纸口袋，烧给死去的亲人，其中一袋，就是烧给尹女士的。"
"LZZYHY006","李敖自传与回忆","extract_round1","needs_proofread","不生男的不怪女的","001.李敖自传.txt","不生男的不怪女的","23","25","25","83","9a66735fa19aed42b38c2ce5459327b680515b1c","　　现代的生理学证明，生不生男的，原因在男方而不在女方，但是以前人不知道，尤其以前的婆婆不知道也决心不知道，所以旧式的中国小媳妇会因“无子”而被“七出”，她们真可怜！"
"LZZYHY007","李敖自传与回忆","extract_round1","needs_proofread","示范的婆婆","001.李敖自传.txt","示范的婆婆","27","29","29","166","0358782c14831fd28640de741fcf4c4375874f9b","　　给尹女士最大精神威胁的，不幸是她碰到一个最会示范的婆婆——我的祖母（我们叫奶奶）。奶奶生了十二个小孩，六男六女，成双成对。其中四叔、大姑、二姑、三姑、五姑虽都“寿禄不永”，但是还剩下十二分之七，剩下五男二女，成绩也足以骄四邻、骄媳妇、骄媳妇之母。尹女士的困境是：不单是她自己不能生，又加上婆婆太能生，她的可怜，自然也就加了一倍。"
"LZZYHY008","李敖自传与回忆","extract_round1","needs_proofread","大爷","001.李敖自传.txt","大爷","31","33","33","143","68b64e395cc349c9b127d995ec926a2cb26bae79","　　十二个小孩中，爸爸在男孩中排行老二。老大（我们叫大爷）李孟谦，是个村学究，为人谦和得有点怕羞。太太（我们叫大娘）是三姑六婆型的，有一男一女。儿子（李纯仁，我们叫大哥）很伪善。有一次大爷去算命，算命先生说：“你这位先生，妻不贤，子不孝。”说得大爷满脸通红，连忙说：“差一点，差一点。”"
"LZZYHY009","李敖自传与回忆","extract_round1","needs_proofread","籍贯的自由与不自由","001.李敖自传.txt","籍贯的自由与不自由","35","37","37","223","1b9e8927845573baecaa70ef0f2399198fa7a36e","　　大概大爷的村学究使我祖父（我们叫爷爷）不满意，大爷自己也愿成全弟弟念更好的学校，于是，在父兄的帮助下，爸爸考上了国立北京大学。本来籍贯是山东省潍县，因为领吉林省公费，籍贯就改为吉林省扶余县。当时只是爸爸一个人改，所以只他一个人是吉林扶余，爷爷和我们仍是山东潍县。这种情形，一直到1949年（民国三十八年）到了台湾，才被户政机关命令统一，从此我也是吉林扶余。这件小事，反映了籍贯自由的嬗变。在政府权力越来越大的时候，这点小自由也都不容于台湾了。"
"LZZYHY010","李敖自传与回忆","extract_round1","needs_proofread","吉林扶余","001.李敖自传.txt","吉林扶余","39","41","41","130","6b74ffd62028d2dc039a2b2636a770ebb26e27cf","　　吉林扶余在金朝元朝叫肇州，明朝初年叫三岔河卫，后来被蒙古人占领了。清朝初年安抚蒙古人，设了伯都纳站，所以又叫伯都纳。康熙年间在南边盖了砖城，叫做新城，光绪年间叫做新城府，民国以后改为扶余县。扶余位在松花江东北岸，在哈尔滨与长春中间，成为东北北部交通的要冲。"
